Instrument,ROA,EScore,SScore,GScore,Firm Size,Total Debt,Total Equity,Board Size,Board Diversity,Leverage Ratio,EScore * Board Diversity,SScore * Board Diversity,GScore * Board Diversity,Year
0,11.62886,46.0015795014701,47.7709750566893,42.1956228956229,22.8833652816437,3525000000.0,3878900000.0,7,42.8571428571428,0.9087627935754982,1971.4962643487156,2047.3275024295388,1808.3838383838358,2020
1,0.61911,63.9817512614928,91.0636808503075,91.2636363636363,27.609651401392306,132395000000.0,63665000000.0,9,33.3333333333333,2.0795570564674466,2132.725042049758,3035.4560283435803,3042.121212121207,2020
2,0.65089,80.9140867622256,88.6860870272257,74.3781144781144,27.564749894532508,201730000000.0,72035000000.0,10,30.0,2.8004442285000346,2427.4226028667676,2660.5826108167707,2231.343434343432,2020
3,3.17883,61.0845639536099,71.2529807161709,86.3289241622574,23.782817623213358,5228000000.0,9465000000.0,10,30.0,0.552350765979926,1832.5369186082971,2137.589421485127,2589.867724867722,2020
4,9.7698,70.1529033840702,63.4487656927861,86.0387205387205,22.73764872224179,2463100000.0,2681300000.0,12,33.3333333333333,0.9186215641666355,2338.4301128023376,2114.9588564262012,2867.9573512906804,2020
5,20.85013,84.1460548081446,85.7964341185506,97.8737373737373,25.413943770039097,20983000000.0,51264000000.0,12,25.0,0.4093125780274657,2103.651370203615,2144.9108529637647,2446.8434343434324,2020
6,2.1406,59.514101158188,76.4405852891549,75.8548821548821,22.719869100317243,1715700000.0,2951100000.0,8,37.5,0.5813764359052557,2231.77879343205,2866.5219483433084,2844.558080808079,2020
7,15.99675,39.0654799745708,91.7969602808405,86.6748236331569,23.622316490702012,5806900000.0,8381300000.0,7,42.8571428571428,0.6928400128858292,1674.234856053032,3934.1554406074442,3714.6352985638623,2020
8,12.1305,42.3192974460255,70.23997442791,59.7572751322751,21.60955086673416,264300000.0,1689600000.0,10,30.0,0.15642755681818182,1269.578923380765,2107.1992328373,1792.7182539682528,2020
9,0.87467,82.2387147596206,87.5965885306223,89.1868686868686,27.7190090992163,161213000000.0,78683000000.0,9,55.5555555555555,2.0488923909866172,4568.817486645585,4866.477140590123,4954.826038159362,2020
10,6.23817,28.6066883580281,66.9926730949903,68.9799382716049,22.38185289672682,1954079000.0,2277659000.0,8,37.5,0.8579330795347329,1072.7508134260538,2512.225241062136,2586.7476851851834,2020
11,16.566,76.9663080244829,93.2586657561185,77.9410774410774,25.301989372919518,13831000000.0,47054000000.0,12,33.3333333333333,0.29393887873507035,2565.543600816094,3108.6221918706137,2598.0359147025774,2020
12,3.48225,88.8251696457017,76.0112020904214,78.1828282828282,23.454179336186687,4142500000.0,10877500000.0,8,37.5,0.3808319926453689,3330.943861713814,2850.4200783908027,2931.8560606060573,2020
13,3.635,51.5472043958866,58.5901822043413,45.4326599326599,22.72009992647223,2323200000.0,2726300000.0,8,37.5,0.8521439313355097,1933.0201648457476,2197.131832662799,1703.7247474747464,2020
14,2.796,86.7741465073116,78.7905274114003,64.9032186948853,23.556479181002626,2831000000.0,6927000000.0,7,42.8571428571428,0.40869063086473223,3718.891993170492,3376.7368890600083,2781.5665154950802,2020
15,1.0514,78.9162070495752,81.348687574057,80.9358465608465,25.296501500904153,22885000000.0,13424000000.0,9,33.3333333333333,1.7047824791418356,2630.5402349858377,2711.6229191352304,2697.861552028214,2020
16,0.7769,81.1989043862389,86.9116480019009,80.3659932659932,27.554105513760053,210621000000.0,62779000000.0,10,40.0,3.3549594609662465,3247.9561754495558,3476.465920076036,3214.639730639728,2020
17,9.675,56.4748225005624,69.6837108023583,73.6494949494949,23.412065258456483,1697000000.0,10124000000.0,8,25.0,0.1676214934808376,1411.8705625140599,1742.0927700589577,1841.2373737373723,2020
18,-7.6298,74.5462518111797,69.532152483635,80.6919191919191,23.60285747536559,8229000000.0,440000000.0,10,40.0,18.702272727272728,2981.850072447188,2781.2860993454,3227.676767676764,2020
19,-2.11225,89.0925279724958,87.1610700056915,70.2892255892255,24.565381266959207,3386000000.0,8491000000.0,9,33.3333333333333,0.39877517371334353,2969.750932416524,2905.369000189714,2342.974186307514,2020
20,5.7935,18.8933501910601,23.6343830683326,19.0656565656565,22.534512360807014,2005871000.0,2888109000.0,7,28.5714285714285,0.6945274572393216,539.8100054588587,675.268087666644,544.7330447330414,2020
