,Symbol,11/20/2022
0,MMM,42.424676674
1,AOS,26.4692297242
2,ABT,20.6193683842
3,ABBV.K,81.0419884848
4,ABMD.O,9.6367773961
5,ACN,33.0350810057
6,ATVI.O,16.540017159
7,ADM,12.7363043529
8,ADBE.O,34.3679840348
9,ADP.O,66.3016840165
10,AAP,18.4248250135
11,AES,-15.206185567
12,AFL,
13,A,23.5821477295
14,APD,16.8155090936
15,AKAM.O,14.8415669188
16,ALK,13.6691707173
17,ALB,2.5000674686
18,ARE,4.0927229249
19,ALGN.O,22.519101727
20,ALLE.K,60.8120868744
21,LNT.O,11.3487119044
22,ALL,
23,GOOGL.O,32.069323964
24,GOOG.O,32.069323964
25,MO,401.4598540146
26,AMZN.O,28.8056499273
27,AMCR.K,18.2003165272
28,AMD.O,47.4276286186
29,AEE,10.6234574525
30,AAL.O,
31,AEP.O,11.5530522885
32,AXP,35.694515179
33,AIG,
34,AMT,55.9734923213
35,AWK,18.3682373473
36,AMP,47.783933518
37,ABC,1153.2004873959
38,AME,15.4439628647
39,AMGN.O,73.1640697747
40,APH,26.8574215575
41,ADI.O,5.5627463681
42,ANSS.O,10.5949950594
43,AON,55.0921861282
44,APA.O,
45,AAPL.O,175.4592922065
46,AMAT.O,53.3938873205
47,APTV.K,7.2606448437
48,ACGL.O,
49,ANET.K,23.0405961673
50,AJG,12.3419487431
51,AIZ,
52,T,12.2443255438
53,ATO,8.9391538026
54,ADSK.O,54.7779124876
55,AZO,
56,AVB,9.2629948843
57,AVY,43.4165371191
58,BKR.O,-1.2616660906
59,BALL.K,25.0941756013
60,BAC,
61,BBWI.K,
62,BAX,14.4545761567
63,BDX,6.6764669852
64,WRB,
65,BRKb,18.9168948021
66,BBY,64.5195214934
67,BIO,36.063096417
68,TECH.O,16.6660081152
69,BIIB.O,14.4106683953
70,BLK,16.1724402543
71,BK,
72,BA,
73,BKNG.O,21.0459759733
74,BWA,8.0293062201
75,BXP,8.5408385709
76,BSX,6.510579692
77,BMY,18.9621516105
78,AVGO.O,27.5862068966
79,BR,28.920122311
80,BRO,14.7678388795
81,BFb,31.077322455
82,CHRW.O,43.2738993923
83,CDNS.O,26.5951785861
84,CZR.O,-20.8298230834
85,CPT,7.9531874497
86,CPB,23.3533857782
87,COF,
88,CAH,-172.4584103512
89,KMX,23.9852242467
90,CCL,-58.1118688645
91,CARR.K,25.5626392196
92,CTLT.K,11.4455838571
93,CAT,40.5657708628
94,CBOE.K,15.2149215526
95,CBRE.K,23.5359851867
96,CDW.O,98.7217894947
97,CE,49.5657809462
98,CNC,
99,CNP,7.5212520408
100,CDAY.K,-3.4861409714
101,CF,29.9281984334
102,CRL,16.8185206677
103,SCHW.K,10.4254769812
104,CHTR.O,24.5885616167
105,CVX,11.5417997821
106,CMG,30.2481824589
107,CB,
108,CHD,26.4647563004
109,CI,
110,CINF.O,
111,CTAS.O,35.3273128824
112,CSCO.O,29.1481591156
