,Symbol,11/20/2022
0,MMM,4.16666666666666
1,AOS,100.0
2,ABT,14.4736842105263
3,ABBV.K,25.0
4,ABMD.O,100.0
5,ACN,80.8080808080808
6,ATVI.O,25.2525252525252
7,ADM,72.4489795918367
8,ADBE.O,100.0
9,ADP.O,100.0
10,AAP,100.0
11,AES,100.0
12,AFL,100.0
13,A,100.0
14,APD,100.0
15,AKAM.O,100.0
16,ALK,100.0
17,ALB,100.0
18,ARE,100.0
19,ALGN.O,100.0
20,ALLE.K,100.0
21,LNT.O,100.0
22,ALL,64.8148148148148
23,GOOGL.O,6.56565656565656
24,GOOG.O,6.56565656565656
25,MO,32.6530612244897
26,AMZN.O,2.27272727272727
27,AMCR.K,100.0
28,AMD.O,75.0
29,AEE,100.0
30,AAL.O,6.25
31,AEP.O,100.0
32,AXP,48.6111111111111
33,AIG,11.1111111111111
34,AMT,100.0
35,AWK,100.0
36,AMP,100.0
37,ABC,18.4210526315789
38,AME,100.0
39,AMGN.O,100.0
40,APH,100.0
41,ADI.O,100.0
42,ANSS.O,100.0
43,AON,2.77777777777777
44,APA.O,31.8181818181818
45,AAPL.O,3.125
46,AMAT.O,100.0
47,APTV.K,76.0416666666666
48,ACGL.O,64.8148148148148
49,ANET.K,100.0
50,AJG,92.8571428571428
51,AIZ,100.0
52,T,3.26086956521739
53,ATO,100.0
54,ADSK.O,100.0
55,AZO,100.0
56,AVB,100.0
57,AVY,100.0
58,BKR.O,72.0
59,BALL.K,100.0
60,BAC,19.4444444444444
61,BBWI.K,100.0
62,BAX,100.0
63,BDX,78.9473684210526
64,WRB,66.0714285714285
65,BRKb,12.5
66,BBY,100.0
67,BIO,100.0
68,TECH.O,100.0
69,BIIB.O,52.2727272727272
70,BLK,100.0
71,BK,69.047619047619
72,BA,5.35714285714285
73,BKNG.O,72.0930232558139
74,BWA,100.0
75,BXP,100.0
76,BSX,27.6315789473684
77,BMY,23.5294117647058
78,AVGO.O,15.0
79,BR,100.0
80,BRO,100.0
81,BFb,100.0
82,CHRW.O,100.0
83,CDNS.O,100.0
84,CZR.O,100.0
85,CPT,100.0
86,CPB,72.4489795918367
87,COF,90.625
88,CAH,30.3030303030303
89,KMX,100.0
90,CCL,72.0930232558139
91,CARR.K,100.0
92,CTLT.K,100.0
93,CAT,57.8125
94,CBOE.K,100.0
95,CBRE.K,100.0
96,CDW.O,100.0
97,CE,94.3181818181818
98,CNC,100.0
99,CNP,100.0
100,CDAY.K,100.0
101,CF,100.0
102,CRL,100.0
103,SCHW.K,16.6666666666666
104,CHTR.O,44.7368421052631
105,CVX,9.09090909090909
106,CMG,20.9302325581395
107,CB,22.3214285714285
108,CHD,100.0
109,CI,73.6842105263157
110,CINF.O,97.3214285714285
111,CTAS.O,100.0
112,CSCO.O,25.0
113,C,19.4444444444444
114,CFG,100.0
115,CLX,100.0
116,CME.O,69.047619047619
117,CMS,100.0
