,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,10.11618,9.35933,7.72005,8.88538,7.92884,8.16228
1,AOS,3.01947,2.1211,2.21941,2.57965,1.69812,1.84646
2,ABT,3.95249,2.5168,2.07019,1.33785,0.27273,0.94403
3,ABBV.K,6.45357,2.72325,5.28437,3.65912,3.2957,3.63151
4,ABMD.O,2.9752,4.93771,4.43096,5.61236,2.44651,1.167
5,ACN,10.70955,9.15508,7.8947,7.36046,6.3406,5.44206
6,ATVI.O,3.4426,2.82391,1.94942,2.39689,0.3564,1.27586
7,ADM,4.78622,3.14742,2.44071,3.19224,2.78846,2.16413
8,ADBE.O,10.02495,10.84536,6.00412,5.204,3.38032,2.31764
9,ADP.O,7.00285,6.06984,5.70025,5.23949,4.25197,3.97024
10,AAP,9.55073,7.14492,6.84179,5.72836,6.41621,6.19688
11,AES,-0.61411,0.06886,0.45427,1.80902,-1.75909,-1.71212
12,AFL,6.39104,6.6714,4.4264,3.76944,5.77044,3.21197
13,A,3.94137,2.30449,3.36792,0.97231,2.09816,1.40426
14,APD,10.13978,9.43416,8.48718,7.94224,6.78351,13.65059
15,AKAM.O,3.93019,3.37173,2.9047,1.76356,1.28982,1.82009
16,ALK,3.77046,-10.72499,6.18719,3.5249,7.75106,6.40732
17,ALB,1.06123,3.51813,5.01527,6.33633,0.48808,5.68422
18,ARE,3.82069,6.01463,3.11929,3.52284,1.57929,-1.98601
19,ALGN.O,9.69022,22.41434,5.52779,4.91949,2.82796,2.32784
20,ALLE.K,5.33702,3.38685,4.26087,4.54441,2.84688,2.36429
21,LNT.O,2.62864,2.46884,2.33138,2.19221,1.99086,1.63584
22,ALL,4.96489,17.30903,14.02699,5.69649,9.34747,4.66737
23,GOOGL.O,5.60985,2.93067,2.45814,2.18517,0.89982,1.39386
24,GOOG.O,5.60985,2.93067,2.45814,2.18517,0.89982,1.39386
25,MO,1.3355,2.3986,-0.69556,3.68379,5.3139,7.28227
26,AMZN.O,3.23922,2.09127,1.1496,1.0073,0.30761,0.24494
27,AMCR.K,0.52902,0.60219,0.38224,0.36341,0.49514,0.48445
28,AMD.O,2.57282,2.06379,0.30446,0.31673,-0.03466,-0.59521
29,AEE,3.84317,3.50221,3.35087,3.3157,2.14169,2.68283
30,AAL.O,-3.09465,-18.36169,3.795,3.03226,2.60732,4.64665
31,AEP.O,4.95851,4.42474,3.87861,3.89624,3.88258,1.24252
32,AXP,10.02152,3.76675,7.98916,7.90105,2.98646,5.61711
33,AIG,10.82109,-6.87097,3.73913,-0.00668,-6.53799,-0.77812
34,AMT,5.66454,3.7897,4.2373,2.77,2.66744,1.97842
35,AWK,6.93956,3.8956,3.43094,3.15,2.37989,2.61453
36,AMP,23.0,12.20366,13.91912,14.20447,9.4448,7.80618
37,ABC,8.04327,7.38701,-16.6455,4.03779,7.52671,1.64477
38,AME,4.25257,3.77434,3.75465,3.3429,2.93933,2.19124
39,AMGN.O,10.28447,12.31186,12.87685,12.62256,2.69252,10.24138
40,APH,2.54325,1.95675,1.87561,1.92738,1.02765,1.30536
41,ADI.O,3.4649,3.28185,3.64679,4.00352,2.29151,2.75902
42,ANSS.O,5.16023,4.97075,5.2522,4.88139,2.98491,2.98571
43,AON,5.55064,8.44702,6.36741,4.59109,4.70272,5.16463
44,APA.O,2.59467,-12.85714,-9.4244,0.10417,3.4047,-3.70712
45,AAPL.O,6.1132,5.61402,3.27535,2.97145,2.97649,2.30169
46,AMAT.O,6.40696,3.92091,2.86349,2.96101,3.24631,1.54211
47,APTV.K,1.94307,6.53491,3.8463,4.02308,5.0554,4.59262
48,ACGL.O,5.22899,3.3245,3.87432,1.72828,1.35595,1.77645
49,ANET.K,2.63394,1.99634,2.65665,1.01412,1.33731,0.62495
50,AJG,4.37434,4.19897,3.51815,3.40226,2.64305,2.22422
51,AIZ,22.7481,6.69675,5.83983,3.97679,9.39415,9.12815
52,T,2.76372,-0.75017,1.89453,2.84881,4.76516,2.09872
