,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,5.92,5.88,5.76,5.44,4.7,4.44
1,AOS,0.8,0.98,0.9,0.76,0.56,0.48
2,ABT,1.8,1.44,1.28,1.12,1.06,1.04
3,ABBV.K,5.2,4.72,4.28,3.59,2.56,2.35
4,ABMD.O,,,,,0.0,
5,ACN,3.88,3.52,3.2,2.92,2.66,2.42
6,ATVI.O,,0.41,0.37,0.34,0.3,0.26
7,ADM,1.48,1.44,1.4,1.34,1.28,1.2
8,ADBE.O,0,0,0,0,0.0,0
9,ADP.O,,3.7,3.52,3.06,2.52,2.24
10,AAP,3.25,1.0,0.24,0.24,0.24,0.24
11,AES,,0.572,0.55,0.53,0.49,0.45
12,AFL,1.32,1.12,1.08,1.08,0.87,0.83
13,A,,0.72,0.656,0.596,0.528,0.46
14,APD,6.36,5.84,5.18,4.58,4.25,3.71
15,AKAM.O,,0,0,0,0.0,0
16,ALK,0.0,0.375,1.4,1.28,1.2,1.1
17,ALB,1.56,1.54,1.472,1.34,1.28,1.22
18,ARE,4.48,4.24,4.0,3.73,3.45,3.23
19,ALGN.O,0,0,0,0,0.0,0
20,ALLE.K,1.44,1.28,1.08,0.84,0.64,0.48
21,LNT.O,,1.52,1.42,1.34,1.26,1.175
22,ALL,3.24,2.16,2.0,1.84,1.48,1.32
23,GOOGL.O,0,0,0,0,0.0,0
24,GOOG.O,0,0,0,0,0.0,0
25,MO,3.52,3.4,3.28,3.0,2.64,2.305
26,AMZN.O,0,0,0,0,0.0,0
27,AMCR.K,0.478,0.47,0.46,0.58,,
28,AMD.O,0,0,0,0,0,0
29,AEE,2.2,2.0,1.92,1.849,1.778,1.715
30,AAL.O,0.0,0.1,0.4,0.4,0.4,0.4
31,AEP.O,3.0,2.84,2.71,2.53,2.39,2.27
32,AXP,1.72,1.72,1.64,1.48,1.34,1.22
33,AIG,1.28,1.28,1.28,1.28,1.28,1.28
34,AMT,5.21,4.46,3.78,3.15,2.62,2.17
35,AWK,2.4,2.2,1.955,1.78,1.66,1.5
36,AMP,,4.09,3.88,3.6,3.24,2.92
37,ABC,1.84,,1.68,1.6,1.52,1.46
38,AME,0.8,0.72,0.56,0.56,0.36,0.36
39,AMGN.O,7.04,6.4,5.8,5.28,4.6,4.0
40,APH,0.635,0.52,0.48,0.44,0.35,0.29
41,ADI.O,2.76,2.4,2.1,1.89,1.8,1.66
42,ANSS.O,0,0,0,0,0,0
43,AON,1.99,1.78,1.72,1.56,1.41,1.29
44,APA.O,0.24,0.1,1.0,1.0,1.0,1.0
45,AAPL.O,0.9,0.85,0.795,0.75,0.68,0.6
46,AMAT.O,0.92,0.88,0.83,0.6,0.4,0.4
47,APTV.K,0.0,0.22,0.88,0.88,1.16,1.16
48,ACGL.O,0,0,0,0,0,0
49,ANET.K,0,0,0,0,0,0
50,AJG,1.92,1.8,1.72,1.64,1.56,1.52
51,AIZ,2.66,2.55,2.43,2.28,2.15,2.03
52,T,2.08,2.08,2.04,2.0,1.97,1.93
53,ATO,2.72,2.5,2.3,2.1,1.94,1.8
54,ADSK.O,0,0,0,0,0,0
55,AZO,0,0,0,0,0,0
56,AVB,6.36,6.36,6.08,5.88,5.68,5.4
57,AVY,,2.36,2.26,2.01,1.76,1.6
58,BKR.O,0.72,0.72,0.72,0.72,0.35,0.68
59,BALL.K,,0.6,0.6,0.4,0.365,0.26
