,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,10.12,8.74,9.08,10.46,9.17,8.16,7.58,7.49,6.72,6.32,5.96
1,AOS,3.02,2.16,2.22,2.61,2.17,1.85,1.58,1.215,1.03,0.7575,0.5275
2,ABT,5.21,3.65,3.24,2.88,2.5,2.2,2.15,2.28,2.01,5.07,4.66
3,ABBV.K,12.7,10.56,8.94,7.91,5.6,4.82,4.29,3.32,3.14,3.35,
4,ABMD.O,4.44,4.94,4.43,5.1,2.45,1.24,0.85,0.63,0.18,0.37,0.04
5,ACN,10.71,8.8,7.46,7.36,6.74,5.91,5.34,4.82,4.52,4.21,3.84
6,ATVI.O,3.72,3.47,2.25,2.6,2.28,2.2,1.32,1.42,0.94,1.18,0.93
7,ADM,5.19,3.59,2.63,3.5,2.43,2.16,2.6,3.2,2.33,2.3,
8,ADBE.O,12.48,10.1,7.87,5.5,4.31,3.01,2.08,1.29,1.34,2.35,2.35
9,ADP.O,7.01,6.02,5.92,5.45,4.35,3.7,3.26,2.89,3.14,2.89,2.74
10,AAP,12.02,8.51,8.19,7.13,5.37,7.15,7.82,7.76,5.32,5.22,5.11
11,AES,1.52,1.44,1.36,1.24,1.08,0.98,1.22,1.3,1.29,1.24,1.04
12,AFL,5.94,4.96,4.44,4.16,3.455,3.225,3.08,3.08,3.09,3.3,3.165
13,A,4.34,3.28,3.11,2.79,2.36,1.98,1.74,3.04,2.88,3.12,2.95
14,APD,10.41,9.02,8.38,8.21,7.45,6.31,7.55,6.57,5.78,5.5,5.4
15,AKAM.O,5.74,5.22,4.49,3.62,2.62,2.7,2.52,2.43,2.02,1.81,1.52
16,ALK,-2.03,-10.17,6.42,4.46,6.64,7.32,6.51,4.18,2.7,2.365,1.9575
17,ALB,4.04,4.12,6.04,5.48,4.59,3.57,3.94,4.2,4.06,4.85,4.77
18,ARE,3.82,6.59,3.12,3.52,1.58,-1.99,1.46,1.74,1.6,1.12,1.73
19,ALGN.O,11.22,5.25,5.53,4.92,3.89,2.41,1.77,1.77,1.54,1.17,0.97
20,ALLE.K,5.19,5.11,4.89,4.5,3.96,3.34,3.03,2.49,2.13,,
21,LNT.O,2.63,2.43,2.33,2.17,1.93,1.88,1.735,1.74,1.655,1.525,1.375
22,ALL,13.48,14.73,10.43,8.07,6.71,4.87,5.19,5.4,5.68,4.36,1.32
23,GOOGL.O,5.61,2.9305,2.458,2.185,1.6005,1.717,1.4795,1.279,1.09725,0.9955,0.901
24,GOOG.O,5.61,2.9305,2.458,2.185,1.6125,1.717,1.479,1.279,,,
25,MO,4.61,4.36,4.22,3.99,3.39,3.03,2.8,2.57,2.38,2.21,2.05
26,AMZN.O,2.1395,2.0915,1.1505,1.007,0.228,0.245,0.0625,-0.026,0.0295,-0.0045,0.0685
27,AMCR.K,0.805,0.744,0.64,0.616,,,,,,,
28,AMD.O,2.79,1.29,0.64,0.46,0.17,-0.14,-0.54,0.06,-0.11,-0.16,0.5
29,AEE,3.84,3.5,3.35,3.37,2.83,2.68,2.56,2.4,2.1,2.42,2.56
30,AAL.O,-8.38,-19.66,4.9,4.55,4.88,5.71,9.12,3.93,2.91,-0.39,-3.74
31,AEP.O,4.74,4.44,4.24,3.95,3.68,3.94,3.69,3.43,3.23,3.09,3.12
32,AXP,10.02,3.77,8.2,7.33,5.87,5.65,5.38,5.39,4.91,4.4,4.09
33,AIG,5.12,2.52,4.59,1.17,2.34,3.84,2.19,4.58,4.56,3.93,1.02
34,AMT,5.66,3.79,4.24,2.77,2.96,1.98,1.41,2.0,1.38,1.6,0.98
35,AWK,3.98,3.91,3.61,3.3,3.05,2.84,2.64,2.47,2.2,2.13,1.81
36,AMP,22.7,14.08,16.1,14.94,12.27,8.48,9.32,8.52,7.05,5.59,5.0
37,ABC,11.03,9.26,7.9,7.09,6.49,5.88,5.62,4.96,3.97,3.14,2.8
38,AME,4.85,3.95,4.19,3.29,2.61,2.3,2.55,2.42,2.1,1.88,1.58
39,AMGN.O,17.1,16.6,14.82,14.4,12.58,11.65,10.38,8.7,7.6,6.51,5.33
40,APH,2.48,1.87,1.87,1.885,1.665,1.36,1.215,1.125,0.9625,0.8675,0.7625
41,ADI.O,6.46,4.91,5.15,5.94,4.72,3.07,3.17,2.39,2.16,2.13,2.72
42,ANSS.O,7.37,6.7,6.58,5.98,4.01,3.63,3.42,3.43,3.27,2.91,2.58
43,AON,12.0,9.81,9.17,8.16,6.52,6.59,6.18,5.71,4.89,4.21,3.29
44,APA.O,3.9,-1.08,0.0,1.77,0.24,-1.13,-0.34,5.94,7.92,9.48,11.83
45,AAPL.O,6.11,5.61,3.28,2.9725,2.9775,2.3025,2.0775,2.305,1.6125,1.41964,1.57678
46,AMAT.O,6.84,4.17,3.04,4.45,3.25,1.75,1.19,1.07,0.59,0.75,1.3
47,APTV.K,2.61,1.94,4.8,5.26,4.64,6.28,5.22,5.09,4.4,3.84,2.72
48,ACGL.O,3.58,1.36,2.82,2.2,1.07,1.54333,1.49333,1.52667,1.46333,0.84667,0.73333
49,ANET.K,2.87,2.26,2.425,1.99,1.4025,0.825,0.61,0.385,,,
50,AJG,5.48,4.72,3.66,3.45,3.06,2.74,2.59,2.39,2.15,1.79,1.41
51,AIZ,9.36,8.63,8.55,5.8,3.98,4.47,6.58,6.0,6.01,5.27,4.57
52,T,3.4,3.18,3.57,3.52,3.05,2.84,2.71,2.51,2.5,2.31,2.2
53,ATO,5.12,4.72,4.35,4.0,3.6,3.37,3.1,2.9,2.53,2.11,2.34
54,ADSK.O,5.07,4.05,2.79,1.01,-0.48,-0.5,0.84,1.17,1.68,1.94,1.74
55,AZO,117.19,95.19,71.93,63.43,50.43,44.07,40.7,36.03,31.57,27.79,23.48
56,AVB,7.19,5.89,5.63,7.05,6.35,7.52,5.51,5.21,2.78,4.32,4.87
57,AVY,8.91,7.1,6.6,6.06,5.0,4.02,3.44,3.11,2.68,2.08,2.16
58,BKR.O,0.63,0.03,0.85,0.64,0.44,-2.96,-0.48,4.22,2.62,3.14,4.2
59,BALL.K,3.49,2.97,2.53,2.2,2.04,1.745,1.74,1.94,1.64,1.53,1.365
60,BAC,3.57,1.87,2.76,2.62,1.85,1.55,1.38,0.43,0.9,0.25,0.01
61,BBWI.K,4.51,3.46,2.29,2.82,3.2,3.74,3.99,3.5,3.05,2.92,2.6
62,BAX,3.61,3.09,3.31,3.05,2.48,1.96,1.38,4.9,4.67,4.53,4.31
63,BDX,13.08,10.2,11.68,11.01,9.48,8.59,7.16,6.25,5.81,5.37,5.56
64,WRB,3.4,1.54667,1.96667,1.79111,1.06667,1.51111,1.51556,1.60889,1.36,1.16,0.92889
65,BRKb,12.12,9.16,9.78,10.05,5.86,7.13,7.04,6.714,6.14,5.086,4.354
66,BBY,10.01,7.91,6.07,5.32,4.42,3.56,2.78,2.6,2.07,2.62,3.39
67,BIO,15.66,10.52,7.06,5.84,2.01,0.95,3.85,4.35,4.3,5.8,6.26
