,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,78.6795790980803,88.1283889653914,85.9602179158631,95.1474577754441,79.8828889416697,69.2307692307692
1,AOS,False,,39.3386091690286,39.3386091690286,30.0546729430224,31.7224091841564,60.4650170648464,100.0
2,ABT,True,100.0,64.6725946287509,79.3451892575018,58.2571346563884,85.9682480587171,80.465920649755,50.0
3,ABBV.K,True,100.0,75.1160252981779,75.1160252981779,65.4906329625431,88.7569658514563,61.7890185174667,93.75
4,ABMD.O,False,,21.0132270806996,21.0132270806996,0.0,24.7061482820976,25.9570534698521,100.0
5,ACN,True,100.0,78.8057802863871,78.8057802863871,76.8049501389404,89.8210770205647,69.9206349206349,100.0
6,ATVI.O,False,,52.8137812120903,52.8137812120903,11.6306954436451,52.3012325861734,65.6100682593857,100.0
7,ADM,True,100.0,55.1718231015566,55.1718231015566,53.9826576665482,46.3511310417309,71.7201008056535,100.0
8,ADBE.O,True,100.0,78.6135950826455,78.6135950826455,80.1954684934876,75.8051864280218,80.55738495643,79.0322580645161
9,ADP.O,True,100.0,63.4759641431835,63.4759641431835,26.1476972268339,55.6143450259243,81.4441717912839,95.1612903225806
10,AAP,False,,33.3698338526798,33.3698338526798,14.7736928104575,38.1297361849962,37.3791240045506,100.0
11,AES,True,100.0,57.3264242422703,64.6528484845407,44.5277347720011,66.9317220321524,95.903006183963,50.0
12,AFL,True,100.0,51.5432898336248,51.5432898336248,49.0901671013232,57.4825939179781,52.2298388692968,100.0
13,A,True,100.0,88.4762239735611,88.4762239735611,77.1332212563555,92.9510642001334,87.8777522766036,100.0
14,APD,True,40.0,73.1285690815751,73.1285690815751,83.1052013892304,74.9683211042848,52.3858277440152,100.0
15,AKAM.O,True,75.0,52.0345867365153,65.3594960536757,68.4497881147136,45.9011585134094,81.1881990950382,38.7096774193548
16,ALK,True,82.985,64.862294699965,64.862294699965,43.9141414141414,66.7226696645966,85.1663779497744,97.2222222222222
17,ALB,True,100.0,58.3848858467085,58.3848858467085,53.7290203223145,60.8925318761384,62.3611813899373,100.0
18,ARE,False,,41.6380468499351,41.6380468499351,12.4448482095541,54.4169531489484,63.6988054607509,100.0
19,ALGN.O,False,,20.2265677106866,20.2265677106866,1.91897654584221,15.5004061463481,34.9928896473265,100.0
20,ALLE.K,False,,34.5017846190541,34.5017846190541,9.83455882352941,42.5151456447465,40.5555555555555,100.0
21,LNT.O,True,100.0,61.2472298678119,61.2472298678119,67.7980685743555,44.0624655115329,72.4509977298505,100.0
