,Instrument,2021,2020,2019,2018,2017,2016
0,MMM,89.86282164,92.7327176,88.54014593,85.98453121,87.23351211,88.12838897
1,AOS,,53.96630087,53.69553375,41.06362202,40.23491602,39.33860917
2,ABT,82.20365384,82.96599511,80.95210032,77.68398663,81.99323721,79.34518926
3,ABBV.K,82.81910766,81.51091598,78.77465849,75.53719032,79.48700727,75.1160253
4,ABMD.O,25.96358672,25.31960535,20.89080044,20.54813071,25.89260141,21.01322708
5,ACN,80.68810664,78.26480741,77.51134961,77.80168624,82.17246556,78.80578029
6,ATVI.O,67.71604047,63.6408295,59.53946021,51.78205366,43.98618167,52.81378121
7,ADM,83.61803662,83.94737705,80.86055216,76.27064493,78.70870713,55.1718231
8,ADBE.O,,77.89088545,66.09853742,78.99660842,79.08254346,78.61359508
9,ADP.O,77.72332405,81.32964372,78.6788614,68.61962782,62.91834434,63.47596414
10,AAP,66.27867277,57.84315734,43.2279568,62.96692577,54.87309015,33.36983385
11,AES,,71.1117163,69.61969538,65.72305094,60.70398659,64.65284848
12,AFL,,55.06852411,59.55123233,54.84445662,60.25848099,51.54328983
13,A,88.61959776,87.59431467,88.29998563,89.40197302,87.50329928,88.47622397
14,APD,,81.63155975,80.2680955,85.13944624,78.93490282,73.12856908
15,AKAM.O,,59.00288602,57.56025685,51.81338701,61.07724688,65.35949605
16,ALK,56.0721629,50.12757501,55.45569499,55.20881125,61.68504064,64.8622947
17,ALB,69.7468849,71.26707291,65.57284251,69.09205383,69.37370864,58.38488585
18,ARE,74.32288489,73.7828804,75.75294512,72.90280681,69.20214048,41.63804685
19,ALGN.O,53.2662199,52.16372197,49.31691768,30.13929899,21.93550376,20.22656771
20,ALLE.K,62.61006268,73.20751564,59.59330055,59.85378951,43.98359277,34.50178462
21,LNT.O,53.85760691,56.82339252,56.12798389,57.23104018,60.3457627,61.24722987
22,ALL,72.13694721,72.61071979,76.70629996,70.85077686,83.13827152,77.73490878
23,GOOGL.O,82.26524877,77.77420331,69.1370405,66.29365312,63.45090753,62.27391489
24,GOOG.O,82.26524877,77.77420331,69.1370405,66.29365312,63.45090753,62.27391489
25,MO,87.46660754,83.03477467,88.27585188,87.12697711,87.04930409,86.29507767
26,AMZN.O,82.82295069,86.87295326,87.81909511,85.2917151,72.24140535,65.28808345
27,AMCR.K,76.31929992,74.48825396,68.7555743,75.46170263,70.43098054,74.89516987
28,AMD.O,69.75252415,66.54005305,66.17623415,69.78825277,70.60024059,71.72747585
29,AEE,48.65601175,39.40020056,43.05527531,45.59762787,45.78775934,45.40208838
30,AAL.O,68.64427815,62.07535055,69.51938269,69.62213218,72.02994484,70.50001974
31,AEP.O,75.5968677,73.29927159,62.56480685,67.09581793,61.67537834,62.94611196
32,AXP,72.15014611,75.75938487,78.38677219,72.04753066,72.57429595,67.80133637
33,AIG,66.52259687,60.81659186,64.01801367,63.19910411,67.94970187,67.68754604
34,AMT,81.093139,69.28327462,71.83550262,73.60523097,61.31502048,58.883001
35,AWK,80.94439659,81.57580288,72.75293768,65.14823949,66.70332358,74.31126831
36,AMP,76.96507121,80.49016285,65.95510359,69.73657876,65.49343236,67.00419787
37,ABC,76.7718861,75.67537169,66.32537972,64.07127454,55.84084922,56.25481243
38,AME,,47.82625818,46.43318728,42.16859374,26.12170257,30.77832612
39,AMGN.O,81.00578328,76.2890511,73.51244376,71.91872766,74.6191173,66.85805446
40,APH,75.35085828,71.73184706,66.09247089,67.99951843,60.30740798,57.12512027
41,ADI.O,74.93435558,73.16783368,72.54617033,77.18298059,71.6918256,69.87969455
42,ANSS.O,62.81598676,62.44898542,59.28325406,45.63622407,43.38356014,53.54547289
43,AON,59.99654248,58.36869637,58.20173624,49.27129058,50.03357754,50.10782745
44,APA.O,65.47791877,62.97977979,57.81964583,58.81831341,48.62116391,38.58084765
45,AAPL.O,79.79340894,77.1041814,70.67390148,72.14342116,68.27099091,61.55806605
46,AMAT.O,80.77676984,78.26438245,76.84586718,80.17814763,73.37659979,69.55522694
47,APTV.K,,60.73817524,65.05063005,56.3125496,43.10089918,41.0965567
48,ACGL.O,60.02146831,42.29075391,38.60064128,33.76175929,28.87618932,24.54094343
49,ANET.K,63.38880638,63.20398614,59.25195319,44.70507855,41.88576472,32.17923851
50,AJG,,54.10885399,57.62935522,53.17530111,57.61886745,52.53371809
51,AIZ,,63.81453059,64.09278406,61.3554485,64.71165304,54.16121256
52,T,76.16422332,75.81777388,69.35674964,63.56268813,62.42620809,60.49431327
53,ATO,42.00784581,39.54647618,41.13290396,30.99542947,25.92941939,22.76543653
54,ADSK.O,79.79992469,81.74324741,82.27677032,80.28172768,81.83455576,82.31496324
55,AZO,,70.77486246,59.27299682,55.86851889,61.71958152,60.39052464
56,AVB,77.22628624,75.70174701,76.3130396,76.40065461,76.8574224,75.52178083
57,AVY,69.90848074,59.38260922,53.99472019,53.03494635,55.44848063,68.47320682
