,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,2.87541505568533,3.17932316017975,3.17404155741945,3.34838867755929,4.52278617821526,3.57084431234025
1,AOS,4.045136463,3.148153406,2.5441686,2.30817603,3.600519928,3.134436161
2,ABT,5.8823085,6.022651982,4.89899737,4.178526683,3.952259139,2.730896696
3,ABBV.K,4.338868114,4.652742474,3.983903096,4.308376151,5.660936463,4.031522864
4,ABMD.O,16.783839409,18.262071932,9.381870819,21.218041462,16.420548573,12.673437761
5,ACN,5.07871893,3.860811096,3.146192518,2.154843181,2.61346394,2.154281763
6,ATVI.O,5.724009444,9.36811875,6.631320941,4.962333744,6.85022428,4.514286766
7,ADM,0.471849892,0.447286894,0.401443985,0.356316705,0.365901378,0.421688797
8,ADBE.O,17.869206438,19.292225704,14.999465523,12.883295915,12.513286528,9.219325592
9,ADP.O,6.761558995,5.187646011,5.160680501,4.249219701,4.144476281,3.906357048
10,AAP,1.363994353,1.084633755,1.143393351,1.206610629,0.782074218,1.308664139
11,AES,1.482305835,1.639972928,1.272895747,0.890287399,0.880136169,0.577605341
12,AFL,1.710429647,1.42984117,1.771744512,1.570757074,1.551808698,1.290969245
13,A,7.63007236,6.810001936,5.125265763,4.372861177,4.837324971,3.488537234
14,APD,6.534896074,6.826470635,5.814308545,3.936302537,4.385109623,4.167450369
15,AKAM.O,5.589594283,5.47113408,4.924097589,3.740384996,4.496537582,5.0174627
16,ALK,1.283910679,1.289714492,0.968434445,0.92149332,1.21084744,1.891056484
17,ALB,8.254264801,4.843610763,2.201084628,2.472119804,4.854708296,3.581710292
18,ARE,17.267249361,13.141665352,12.712135787,9.637183685,11.590321546,9.844173018
19,ALGN.O,13.796749441,18.42249261,9.599166052,9.036128004,13.242233515,7.532882455
20,ALLE.K,4.116901737,3.949522719,4.079039712,2.856618485,3.211003626,2.775889864
21,LNT.O,4.324157791,3.69949322,3.612119138,2.835697158,2.962728054,2.641622738
22,ALL,0.694852309,0.851818203,0.852476195,0.692842201,0.984453814,0.750796505
23,GOOGL.O,8.0387560769941,6.90450858080232,5.95751571873821,5.59603090316234,6.9974429588837,6.38539018030852
24,GOOG.O,8.0387560769941,6.90450858080232,5.95751571873821,5.59603090316234,6.9974429588837,6.38539018030852
25,MO,3.340300064,2.94690539,3.697434037,3.65112637,5.296529907,5.109543091
26,AMZN.O,3.69242757693448,4.69662872134444,3.45108990539275,3.32379698401571,3.49687288244319,2.78384851985257
27,AMCR.K,1.396644301,1.485940492,1.698665951,,,
28,AMD.O,11.700454112,12.757423586,8.479322337,2.884467981,1.976116684,2.548664219
29,AEE,3.712081441,3.337422467,3.142372863,2.539913056,2.334533801,2.111582864
