,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,42.219,44.13,53.31,58.94,51.17,46.31
1,AOS,26.469,19.98,21.87,26.72,23.91,22.08
2,ABT,27.31,20.519,18.859,16.71,17.11,15.72
3,ABBV.K,143.719,197.78,-160.36,,185.16,184.221
4,ABMD.O,14.369,18.84,21.67,28.94,16.97,13.45
5,ACN,33.07,31.12,31.23,35.29,45.7,47.33
6,ATVI.O,17.87,19.4,14.35,19.24,18.83,19.2
7,ADM,13.8,10.29,7.77,10.62,7.84,7.36
8,ADBE.O,42.789,41.21,38.89,30.86,27.21,21.06
9,ADP.O,66.359,45.13,45.96,53.82,51.85,39.37
10,AAP,23.199,16.52,16.43,15.15,12.58,19.72
11,AES,52.21,44.299,39.969,41.78,38.91,28.34
12,AFL,12.03,11.36,12.64,13.42,12.099,14.11
13,A,25.96,21.27,21.23,19.3,16.93,15.48
14,APD,16.59,15.669,15.41,16.609,15.71,16.15
15,AKAM.O,21.469,21.7,21.59,18.84,13.85,15.01
16,ALK,-7.54,-34.24,19.75,14.84,24.0,34.11
17,ALB,9.509,10.72,17.089,16.54,13.81,11.46
18,ARE,4.04,8.089,4.33,5.48,2.68,-3.4
19,ALGN.O,26.059,18.16,34.07,33.31,29.64,
20,ALLE.K,58.979,59.76,65.44,82.0,147.6,
21,LNT.O,11.099,14.59,10.939,11.05,11.02,11.15
22,ALL,14.72,16.54,14.7,13.0,11.44,9.05
23,GOOGL.O,32.07,19.0,18.12,18.62,15.45,18.53
24,GOOG.O,32.07,19.0,18.12,18.62,15.45,18.53
25,MO,1789.2,177.479,75.16,49.98,46.32,75.68
26,AMZN.O,19.03,27.44,21.95,28.27,9.55,14.52
27,AMCR.K,27.67,24.36,19.97,,,
28,AMD.O,51.52,36.36,36.94,54.77,34.86,
29,AEE,10.619,10.25,10.46,11.07,9.67,9.3
30,AAL.O,75.95,272.33,503.1,-446.15,62.22,67.37
31,AEP.O,11.029,10.919,10.82,10.42,10.13,10.98
32,AXP,35.2,13.179,30.05,31.03,25.199,26.27
33,AIG,6.58,4.4,13.32,1.75,3.15,5.05
34,AMT,55.969,36.96,36.329,21.2,19.66,12.66
35,AWK,10.55,11.279,10.9,10.56,10.41,9.88
36,AMP,47.159,30.53,38.99,38.1,31.29,21.13
37,ABC,,-888.6,,50.7,56.66,61.44
38,AME,17.609,14.39,20.57,18.53,16.64,16.52
39,AMGN.O,121.629,102.66,81.43,50.73,33.55,30.32
40,APH,26.5,23.22,26.92,29.42,27.47,24.76
41,ADI.O,10.369,15.39,16.92,21.07,21.59,18.82
42,ANSS.O,15.13,15.48,18.52,20.99,15.62,14.67
43,AON,119.14,66.58,58.65,45.83,33.8,31.02
44,APA.O,-90.4,-50.37,0.15,9.34,1.35,-9.77
45,AAPL.O,121.389,147.439,73.68,55.92,49.36,36.87
46,AMAT.O,55.09,40.92,38.2,56.45,42.56,26.3
47,APTV.K,9.089,8.96,33.97,41.31,43.61,73.92
48,ACGL.O,10.769,4.53,10.34,9.76,5.12,8.65
49,ANET.K,25.07,23.12,31.24,33.81,31.98,25.47
50,AJG,16.11,16.95,15.37,15.67,15.41,14.71
51,AIZ,9.75,11.44,10.66,7.35,5.26,6.42
52,T,14.919,13.21,14.24,14.75,14.26,14.26
53,ATO,8.94,9.06,9.26,9.72,10.25,10.4
54,ADSK.O,124.049,217.76,,-95.65,-44.51,-9.42
55,AZO,-91.057,-162.24,-133.73,-100.01,-93.46,-79.66
56,AVB,9.26,7.61,7.27,9.27,8.53,10.33
57,AVY,43.63,44.16,51.95,53.65,45.72,38.55
58,BKR.O,3.19,0.08,1.36,2.99,0.68,-8.86
59,BALL.K,32.95,31.06,26.17,20.95,19.74,23.64
60,BAC,12.23,6.76,10.76,10.51,7.9,6.4
61,BBWI.K,,-90.19,,-97.01,-124.4,
62,BAX,20.67,19.27,21.91,19.69,15.8,12.58
63,BDX,13.32,16.1,13.32,15.24,16.92,19.44
64,WRB,14.679,7.08,9.77,9.55,4.08,9.07
65,BRKb,5.78,5.049,6.2,7.11,4.58,6.53
66,BBY,65.62,51.55,48.06,43.31,32.62,25.27
67,BIO,4.019,4.06,17.449,5.09,2.18,1.11
68,TECH.O,19.82,18.51,14.08,15.63,17.01,15.25
69,BIIB.O,26.62,45.22,47.69,41.93,37.53,41.12
