,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,,20.75,20.82,30.74,27.53,27.07
1,AOS,,,25.94,,,
2,ABT,21.7,,8.539,12.36,12.09,12.99
3,ABBV.K,30.33,21.5,,54.57,30.4,25.17
4,ABMD.O,,,,,,
5,ACN,48.03,48.8,54.417,72.3,74.71,91.74
6,ATVI.O,28.21,33.647,17.65,21.16,26.239,21.69
7,ADM,8.0,5.93,8.9,7.896,4.37,7.58
8,ADBE.O,46.61,43.7,37.97,,48.63,34.52
9,ADP.O,,43.23,44.478,44.158,59.6,76.51
10,AAP,22.7,16.98,15.78,15.89,17.541,23.57
11,AES,7.299,6.099,8.43,5.5,10.249,14.99
12,AFL,,,,,,
13,A,,18.08,17.01,26.63,26.25,22.02
14,APD,10.59,14.241,12.53,13.974,16.16,12.82
15,AKAM.O,,16.7,17.99,20.57,13.32,15.28
16,ALK,,-38.59,25.51,13.25,29.552,33.88
17,ALB,9.19,6.51,10.65,13.61,12.28,14.03
18,ARE,,,,,,
19,ALGN.O,36.75,72.84,57.399,,71.55,70.09
20,ALLE.K,,28.76,28.18,21.699,35.77,34.63
21,LNT.O,,6.2,5.31,5.99,6.88,7.23
22,ALL,,,,,,
23,GOOGL.O,50.48,33.48,62.5,30.54,39.33,41.66
24,GOOG.O,50.48,33.48,62.5,30.54,39.33,41.66
25,MO,53.89,44.88,25.27,18.78,35.53,40.79
26,AMZN.O,24.75,49.08,39.95,31.8,11.85,237.58
27,AMCR.K,13.97,12.76,11.81,,,
28,AMD.O,,41.5,45.14,43.9,36.66,7.5
29,AEE,,5.58,5.4,12.42,9.27,6.63
30,AAL.O,-21.69,-45.854,14.65,14.2,20.029,18.87
31,AEP.O,5.47,5.48,,6.2,8.51,8.68
32,AXP,,,,,,
33,AIG,,,,,,
34,AMT,5.7,8.59,9.59,7.37,7.96,7.56
35,AWK,4.51,6.13,6.38,6.799,8.599,9.29
36,AMP,,,,,,
37,ABC,,,,40.179,33.85,64.552
38,AME,16.38,,14.28,13.1,13.04,13.25
39,AMGN.O,34.35,33.9,31.19,60.49,50.9,35.69
40,APH,,16.79,17.39,26.728,24.55,22.33
41,ADI.O,,12.5,20.42,15.91,14.49,18.95
42,ANSS.O,16.17,14.74,18.1,30.5,37.34,33.51
43,AON,31.4,37.18,25.48,24.06,21.77,18.62
44,APA.O,7.7,0.11,5.75,,,0.94
45,AAPL.O,81.16,74.927,65.19,54.55,37.03,34.945
46,AMAT.O,53.13,39.07,38.2,57.85,54.9,29.89
47,APTV.K,11.89,8.68,17.51,20.34,26.26,32.21
48,ACGL.O,,,,,,10.61
49,ANET.K,159.34,152.74,37.299,59.799,,58.37
50,AJG,,,,6.83,10.038,9.81
51,AIZ,,,,,,
52,T,7.7,8.59,10.93,7.83,12.361,13.17
53,ATO,4.87,5.9,5.82,6.25,4.51,9.85
54,ADSK.O,77.64,126.16,,28.56,,-38.34
55,AZO,113.04,,69.46,66.83,47.51,42.73
56,AVB,3.799,4.11,4.52,8.65,4.56,4.59
57,AVY,15.9,25.65,30.0,29.301,18.75,20.98
58,BKR.O,4.17,4.78,2.74,3.611,2.55,2.58
59,BALL.K,13.14,14.48,13.94,12.02,11.51,9.35
60,BAC,,,,,,
61,BBWI.K,44.1,78.16,40.13,33.01,48.99,47.78
62,BAX,10.07,15.874,17.87,16.87,14.97,13.09
63,BDX,9.3,11.22,8.94,11.57,8.41,15.558
64,WRB,,,,,,
65,BRKb,,,,,,
66,BBY,190.94,445.32,65.25,56.34,26.12,30.99
67,BIO,3.47,3.54,4.16,6.81,4.92,
68,TECH.O,,17.44,17.0,13.145,11.75,18.24
69,BIIB.O,13.3,36.36,42.87,44.919,42.98,35.53
70,BLK,15.34,21.199,23.0,23.899,,
71,BK,,,,,,
72,BA,-15.09,-71.04,-12.61,172.19,,
73,BKNG.O,36.73,7.84,62.56,49.26,79.962,31.66
74,BWA,14.16,7.7,15.79,17.27,22.25,21.94
75,BXP,4.7,4.59,,4.95,4.799,4.74
76,BSX,11.84,8.09,11.09,,18.23,16.81
77,BMY,,20.169,10.599,24.1,41.16,31.04
78,AVGO.O,30.276,20.2,20.43,26.153,28.69,15.72
79,BR,,13.27,24.1,,,33.97
80,BRO,,,,9.2,10.2,16.26
81,BFb,29.09,25.56,23.3,24.79,23.34,21.73
82,CHRW.O,,20.2,32.14,35.59,20.33,37.22
83,CDNS.O,,17.699,36.23,,,
84,CZR.O,8.21,-2.51,8.29,6.67,2.56,
85,CPT,,,,,,
86,CPB,,13.81,17.36,15.841,12.75,30.69
87,COF,,,,,,
88,CAH,,53.04,41.13,16.06,14.49,26.77
89,KMX,15.42,4.27,5.06,6.79,6.961,6.98
90,CCL,-16.3,-12.81,8.828,9.57,9.5,9.88
91,CARR.K,16.49,16.3,,,,
92,CTLT.K,,,,,,
93,CAT,12.01,11.36,15.36,16.77,11.18,7.23
94,CBOE.K,,,,,,
95,CBRE.K,12.84,13.19,14.52,17.07,19.425,18.29
