,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,35355.0,32184.0,32136.0,32765.0,31657.0,30109.0,30274.0,31821.0,30871.0,29904.0,29611.0
1,AOS,3538.9,2895.3,2992.7,3187.9,2996.7,2685.9,2536.5,2356.0,2153.8,1939.3,1710.5
2,ABT,43075.0,34608.0,31904.0,30578.0,27390.0,20853.0,20405.0,20247.0,19657.0,19050.0,21407.0
3,ABBV.K,56197.0,45804.0,33266.0,32753.0,28216.0,25638.0,22859.0,19960.0,18790.0,18380.0,17443.951
4,ABMD.O,1031.753,847.522,840.883,769.432,593.749,445.304,329.543,230.311,183.643,158.124,126.375
5,ACN,61594.305,50533.389,44327.039,43215.013,40992.534,36176.841,34797.661,32914.424,31874.678,30394.285,29777.985
6,ATVI.O,8803.0,8086.0,6489.0,7500.0,7017.0,6608.0,4664.0,4408.0,4583.0,4856.0,4755.0
7,ADM,85249.0,64355.0,64656.0,64341.0,60828.0,62346.0,67702.0,81201.0,89804.0,46729.0,80676.0
8,ADBE.O,15785.0,12868.0,11171.297,9030.008,7301.505,5854.43,4795.511,4147.065,4055.24,4403.677,4216.258
9,ADP.O,16498.3,15005.4,14589.8,14110.2,13274.2,12372.0,11667.8,10938.5,10226.4,9442.0,10595.4
10,AAP,10997.989,10106.321,9709.003,9580.554,9373.784,9567.679,9737.018,9843.861,6493.814,6205.003,6170.462
11,AES,11141.0,9660.0,10189.0,10736.0,10530.0,10281.0,11260.0,16124.0,15891.0,17164.0,16098.0
12,AFL,22106.0,22147.0,22338.0,21839.0,21704.0,22642.0,21025.0,22759.0,24138.0,26341.0,24072.0
13,A,6319.0,5339.0,5163.0,4914.0,4472.0,4202.0,4038.0,4048.0,3894.0,6858.0,6615.0
14,APD,12698.6,10323.0,8856.3,8918.9,8930.2,8187.6,7503.7,7824.3,10439.0,10180.4,9611.7
15,AKAM.O,3461.223,3198.149,2893.617,2714.474,2489.035,2347.988,2197.448,1963.874,1577.922,1373.947,1158.538
16,ALK,6176.0,3566.0,8781.0,8264.0,7894.0,5925.0,5598.0,5368.0,5156.0,4657.0,4317.8
17,ALB,3327.957,3128.909,3589.427,3374.95,3071.976,2677.203,2826.429,2445.548,2394.27,2519.154,2869.005
18,ARE,2114.15,1885.637,1531.296,1327.459,1128.097,921.706,843.474,726.877,631.151,574.497,536.78
19,ALGN.O,3952.584,2471.941,2406.796,1966.492,1473.413,1079.874,845.486,761.653,660.206,560.041,479.741
20,ALLE.K,2867.4,2719.9,2854.0,2731.7,2408.2,2238.0,2068.1,2118.3,2069.6,2023.3,2021.2
21,LNT.O,3669.0,3416.0,3647.7,3534.5,3382.2,3320.0,3253.6,3350.3,3276.8,3094.5,3221.4
22,ALL,50588.0,41909.0,41541.0,39828.0,39553.0,36847.0,36105.0,35481.0,34714.0,33554.0,33217.0
23,GOOGL.O,257637.0,182527.0,161857.0,136819.0,110855.0,90272.0,74989.0,66001.0,55519.0,46039.0,37905.0
24,GOOG.O,257637.0,182527.0,161857.0,136819.0,110855.0,90272.0,74989.0,66001.0,55519.0,46039.0,37905.0
25,MO,26013.0,26153.0,25110.0,25364.0,25576.0,25744.0,25434.0,24522.0,24466.0,24611.0,23800.0
26,AMZN.O,469822.0,386064.0,280522.0,232887.0,177866.0,135987.0,107006.0,88988.0,74452.0,61093.0,48077.0
27,AMCR.K,14544.0,12861.0,12467.5,9458.2,9319.1,9101.0,9421.3,9611.8,9964.5,9726.767777,12572.050418
28,AMD.O,16434.0,9763.0,6731.0,6475.0,5253.0,4272.0,3991.0,5506.0,5299.0,5422.0,6568.0
29,AEE,6394.0,5794.0,5910.0,6291.0,6174.0,6076.0,6098.0,6053.0,5838.0,5781.0,6148.0
30,AAL.O,29882.0,17337.0,45768.0,44541.0,42622.0,40142.0,40990.0,42650.0,26743.0,24855.0,23979.0
31,AEP.O,16792.0,14918.5,15561.4,16195.7,15424.9,16380.1,16453.2,16378.6,14813.5,14945.0,15116.0
32,AXP,42838.0,37030.0,45115.0,41625.0,37657.0,36036.0,33293.0,34561.0,33416.0,32035.0,32282.0
33,AIG,52057.0,43736.0,49920.0,47640.0,49747.0,52854.0,58918.0,64623.0,69061.0,72043.0,66153.0
34,AMT,9356.9,8041.5,7580.3,7440.1,6663.9,5785.668,4771.516,4100.048,3361.407,2875.96,2443.532
35,AWK,3930.0,3777.0,3610.0,3440.0,3357.0,3302.0,3159.0,3011.328,2878.936,2853.926,2666.236
36,AMP,13443.0,11958.0,12890.0,12924.0,12180.0,11839.0,12200.0,12296.0,11230.0,10259.0,10240.0
37,ABC,238587.006,213988.843,189893.926,179589.121,167939.635,153143.826,146849.686,135961.803,119569.127,87959.167,78080.806
38,AME,5546.514,4540.029,5158.557,4845.872,4300.17,3840.087,3974.295,4021.964,3594.136,3334.213,2989.914
39,AMGN.O,25979.0,25424.0,23362.0,23747.0,22849.0,22991.0,21662.0,20063.0,18676.0,17265.0,15582.0
40,APH,10876.3,8598.9,8225.4,8202.0,7011.3,6286.4,5568.7,5345.5,4614.669,4292.065,3939.786
41,ADI.O,7318.286,5603.056,5991.065,6224.689,5246.354,3421.409,3435.092,2864.773,2633.689,2701.142,2993.32
42,ANSS.O,1906.715,1681.297,1515.892,1293.636,1095.25,988.465,942.753,936.021,861.26,798.018,691.449
43,AON,12193.0,11066.0,11013.0,10770.0,9998.0,9409.0,9480.0,12045.0,11815.0,11514.0,11287.0
44,APA.O,7985.0,4435.0,6491.0,7705.0,5887.0,5367.0,6510.0,12691.0,14771.0,16428.0,16810.0
45,AAPL.O,394328.0,365817.0,274515.0,260174.0,265595.0,229234.0,215639.0,233715.0,182795.0,170910.0,156508.0
46,AMAT.O,23063.0,17202.0,14608.0,16705.0,14698.0,10825.0,9659.0,9072.0,7509.0,8719.0,10517.0
47,APTV.K,15618.0,13066.0,14357.0,14435.0,12884.0,12274.0,10864.0,15499.0,15051.0,15519.0,16041.0
48,ACGL.O,8883.578,8361.816,6807.693,5407.756,5492.227,4445.523,3931.251,3999.14,3494.242,3493.769,3072.369
49,ANET.K,2948.037,2317.512,2410.706,2151.369,1646.186,1129.167,837.591,584.106,361.224,193.408,139.848
50,AJG,8209.4,7003.6,7195.0,6934.0,6249.0,5680.5,5392.4,4626.5,3179.6,2520.3,2134.7
51,AIZ,10187.8,9595.8,9522.1,8058.2,6415.9,7538.654,10330.518,10381.683,9052.044,8508.27,8272.804
52,T,168864.0,171760.0,181193.0,170756.0,160546.0,163786.0,146801.0,132447.0,128752.0,127434.0,126723.0
53,ATO,3407.49,2821.137,2901.848,3115.546,2759.735,2454.648,2926.985,4940.916,3875.46,3436.162,4286.435
54,ADSK.O,4386.4,3790.4,3274.3,2569.8,2056.6,2031.0,2504.1,2512.2,2273.9,2312.2,2215.6
55,AZO,16252.23,14629.585,12631.967,11863.743,11221.077,10888.676,10635.676,10187.34,9475.313,9147.53,8603.863
56,AVB,2294.85,2301.261,2324.626,2284.535,2158.628,2045.255,1856.028,1685.061,1462.921,1000.627,900.087
57,AVY,8408.3,6971.5,7070.1,7159.0,6613.8,6086.5,5966.9,6330.3,6140.0,5863.5,5844.9
58,BKR.O,20502.0,20705.0,23838.0,22877.0,17259.0,9841.0,15742.0,24551.0,22364.0,21361.0,19831.0
59,BALL.K,13811.0,11781.0,11474.0,11635.0,10983.0,9061.0,7997.0,8570.0,8468.1,8735.7,8630.9
60,BAC,,,,,,,,,,,
61,BBWI.K,7882.0,6434.0,5405.0,13237.0,12632.0,12574.0,12154.0,11454.0,10773.0,10459.0,10364.0
62,BAX,12784.0,11673.0,11362.0,11099.0,10584.0,10163.0,9968.0,10719.0,9413.0,13936.0,13893.0
63,BDX,20248.0,17117.0,17290.0,15983.0,12093.0,12483.0,10282.0,8446.0,8054.0,7708.382,7584.037
64,WRB,9455.466,8098.925,7902.196,7697.338,7684.764,7672.298,7239.766,7128.928,6414.576,5823.554,5155.984
65,BRKb,276094.0,245510.0,254616.0,247837.0,239933.0,215114.0,210943.0,194699.0,182150.0,162463.0,143688.0
66,BBY,51761.0,47262.0,43638.0,42879.0,42151.0,39403.0,39528.0,40339.0,40611.0,38252.0,45457.0
67,BIO,2922.545,2545.626,2311.659,2289.415,2160.153,2068.172,2019.441,2175.044,2132.694,2069.235,2073.529
68,TECH.O,1105.599,931.032,738.691,714.006,642.993,563.003,499.023,452.246,357.763,310.575,314.56
69,BIIB.O,10981.7,13444.6,14377.9,13452.9,12273.9,11448.8,10763.8,9703.324,6932.199,5516.461,5048.634
70,BLK,19374.0,16205.0,14539.0,14198.0,13600.0,12261.0,11401.0,11081.0,10180.0,9337.0,9081.0
71,BK,,,,,,,,,,,
72,BA,62286.0,58656.0,84818.0,101127.0,94005.0,93496.0,96114.0,90762.0,86623.0,81698.0,68735.0
73,BKNG.O,10958.0,6796.0,15066.0,14527.0,12681.0,10743.0,9223.987,8441.971,6793.306,5260.956,4355.61
74,BWA,14838.0,10165.0,10168.0,10529.6,9799.3,9071.0,8023.2,8305.1,7436.6,7183.2,7114.7
75,BXP,2888.621,2765.686,2960.562,2717.076,2602.076,2550.82,2490.821,2396.998,2135.539,1847.186,1722.792
76,BSX,11888.0,9913.0,10735.0,9823.0,9048.0,8386.0,7477.0,7380.0,7143.0,7249.0,7622.0
77,BMY,46385.0,42518.0,26145.0,22561.0,20776.0,19427.0,16560.0,15879.0,16385.0,17621.0,21244.0
78,AVGO.O,27450.0,23888.0,22597.0,20848.0,17636.0,13240.0,6824.0,4269.0,2520.0,2364.0,2336.0
79,BR,5709.1,4993.7,4529.0,4362.2,4329.9,4142.6,2897.0,2694.2,2558.0,2430.8,2303.5
80,BRO,3051.398,2613.375,2392.171,2014.246,1881.347,1766.629,1660.509,1574.896,1363.279,1200.032,1013.542
81,BFb,3933.0,3461.0,3363.0,3324.0,3248.0,2994.0,3089.0,3134.0,2991.0,2849.0,2723.0
82,CHRW.O,23102.138,16207.106,15309.508,16631.172,14869.38,13144.413,13476.084,13470.067,12752.076,11359.113,10336.346
83,CDNS.O,2988.244,2682.891,2336.319,2138.022,1943.032,1816.083,1702.091,1580.932,1460.116,1326.424,1149.835
84,CZR.O,9570.0,3628.0,2528.249,2056.007,1480.798,892.896,719.784,361.823,247.186,254.74,256.072
85,CPT,1143.585,1043.837,1028.461,954.505,900.896,876.447,835.618,790.263,788.851,698.318,599.401
86,CPB,8562.0,8476.0,8691.0,8107.0,6615.0,5837.0,7961.0,8082.0,8268.0,8052.0,7175.0
87,COF,,,,,,,,,,,
88,CAH,181364.0,162467.0,152922.0,145534.0,136809.0,129976.0,121546.0,102531.0,91084.0,101093.0,107552.0
