,Instrument,Volatility - 200 days
0,MMM,29.1280606833439
1,AOS,32.6177709187519
2,ABT,27.7845498208275
3,ABBV.K,24.0192743786223
4,ABMD.O,64.9356097377888
5,ACN,33.2660638543505
6,ATVI.O,12.8825434101124
7,ADM,32.3937695489654
8,ADBE.O,47.8241982420077
9,ADP.O,27.5481230845833
10,AAP,36.6249459953799
11,AES,37.2863846763122
12,AFL,24.3820849986743
13,A,36.0558828723438
14,APD,30.0667479358288
15,AKAM.O,31.6727370694846
16,ALK,43.4995724136237
17,ALB,57.9340397758849
18,ARE,31.1729793628079
19,ALGN.O,64.0793716686117
20,ALLE.K,33.4551395836276
21,LNT.O,25.3949338665199
22,ALL,32.1360603640535
23,GOOGL.O,40.4121270065078
24,GOOG.O,40.4957166831142
25,MO,27.2960862185582
26,AMZN.O,53.3181010987424
27,AMCR.K,29.5388282935746
28,AMD.O,63.6064503691742
29,AEE,23.0044271972686
30,AAL.O,59.0900869937034
31,AEP.O,24.6749057180441
32,AXP,36.7535377491741
33,AIG,34.7560358460337
34,AMT,32.722769315581
35,AWK,27.9880488316464
36,AMP,37.5684321890621
37,ABC,24.4210764363004
38,AME,25.4581513708234
39,AMGN.O,23.0502745933401
40,APH,30.6282200985358
41,ADI.O,37.659195547831
42,ANSS.O,42.8507555001498
43,AON,29.6893931346908
44,APA.O,60.5524167446901
45,AAPL.O,37.0970020978187
46,AMAT.O,50.5238887645848
47,APTV.K,55.4475774627215
48,ACGL.O,29.51165549118
49,ANET.K,45.1817259816847
50,AJG,27.9108839840194
51,AIZ,31.3820665683789
52,T,27.4917287031617
53,ATO,24.3599225684226
54,ADSK.O,48.8712484219575
55,AZO,31.1957724692186
56,AVB,28.7324885616602
57,AVY,34.6785250769636
58,BKR.O,47.3654446335956
59,BALL.K,44.1595580943887
60,BAC,33.4196112398339
61,BBWI.K,57.2740165919745
62,BAX,31.6977173809115
63,BDX,24.9273639401247
64,WRB,25.924873491719
65,BRKb,23.5266473534806
66,BBY,45.1124434890125
67,BIO,42.4376917733351
68,TECH.O,40.409282829484
69,BIIB.O,48.6504402865266
70,BLK,39.0931948006913
71,BK,32.1551685607269
72,BA,49.3327386151468
73,BKNG.O,45.4949905406064
74,BWA,39.8278437965728
75,BXP,29.8921838101349
76,BSX,28.8721851850506
