Instrument,ROA,EScore,SScore,GScore,Firm Size,Total Debt,Total Equity,Board Size,Board Diversity,Leverage Ratio,EScore * Board Diversity,SScore * Board Diversity,GScore * Board Diversity,Year
0,9.9885,45.0456817355343,34.3263612888794,68.4240924092409,22.78404684888829,3519200000.0,3155200000.0,7,42.8571428571428,1.1153651115618661,1930.5292172371817,1471.1297695234007,2932.4611032531775,2019
1,0.38,65.5072100442106,90.4347758482065,94.1776458522346,27.672437493768033,138114000000.0,61287000000.0,8,37.5,2.253561114102501,2456.5203766578975,3391.3040943077435,3531.6617194587975,2019
2,0.34775,83.8120348684886,88.5537126728772,77.5274808357329,27.538846614741413,206578000000.0,68023000000.0,11,36.3636363636363,3.036884583155697,3047.710358854126,3220.135006286438,2819.1811212993734,2019
3,3.9745,47.1046661326874,62.5095187964391,91.3659932659932,23.955650011839403,6852000000.0,12333000000.0,9,22.2222222222222,0.5555825833130625,1046.7703585041634,1389.1004176986453,2030.3554059109579,2019
4,8.7944,64.8580018501387,63.9717854354857,79.8976043022628,22.68099161994215,2517700000.0,2756400000.0,12,25.0,0.9134015382382819,1621.4500462534677,1599.2946358871425,1997.4401075565702,2019
5,12.30886,84.1803591775219,81.7222785519612,94.7490894507777,25.384182885448904,27048000000.0,47865000000.0,11,36.3636363636363,0.5650893136947666,3061.1039700917,2971.719220071311,3445.4214345737287,2019
6,5.91917,61.0089205555857,77.3562502492973,83.6658974662406,22.845172821944416,1780724000.0,3257010000.0,7,42.8571428571428,0.5467358098378574,2614.6680238108124,3315.2678678270227,3585.6813199817348,2019
7,18.33271,38.3691705958817,93.0151459043898,87.6845117845117,23.471529847661923,5992800000.0,6527600000.0,9,44.4444444444444,0.9180709602304062,1705.2964709280739,4134.006484639543,3897.0894126449607,2019
8,7.45443,40.2002895752895,71.7647031584941,52.0239057239057,21.66938717877924,704500000.0,1401500000.0,10,20.0,0.5026757046022119,804.0057915057901,1435.294063169882,1040.478114478114,2019
9,0.79244,84.5500699815238,81.8900304923772,90.8877033121638,27.646373660198176,191167000000.0,71933000000.0,10,50.0,2.657570238972377,4227.503499076191,4094.5015246188605,4544.38516560819,2019
10,7.73683,27.573598471354,61.2300358449409,68.3686868686868,22.3306518456652,2231889000.0,1588692000.0,8,37.5,1.4048594692992726,1034.009942675775,2296.126344185284,2563.825757575755,2019
11,13.54243,82.2051832776381,93.1281813328169,73.5279673385665,25.198350116371323,14115000000.0,40532000000.0,9,11.1111111111111,0.34824336326852856,913.3909253070891,1034.7575703646312,816.9774148729603,2019
12,4.42775,87.3266682288005,77.9636283371792,67.576985786228,23.487557735536207,3958100000.0,11326600000.0,8,37.5,0.349451733088482,3274.750058580019,2923.63606264422,2534.13696698355,2019
13,5.70217,50.0938243334113,58.8773857358111,51.0032148633189,22.82782672941921,3039700000.0,2892600000.0,8,37.5,1.0508539030629884,1878.5184125029236,2207.9019650929163,1912.620557374459,2019
14,0.2094,69.3495759424009,56.0224881633021,82.5734006734006,23.599538670463073,2939000000.0,6907000000.0,10,40.0,0.42551035181699726,2773.9830376960363,2240.899526532084,3302.936026936024,2019
15,0.73,40.8910024807254,68.5498160388616,86.3148148148148,25.284943799858368,17851000000.0,12763000000.0,10,40.0,1.398652354462117,1635.640099229016,2741.9926415544637,3452.5925925925917,2019
16,0.45278,87.7782846680718,88.0254446732049,70.1171222699959,27.487802957714482,208009000000.0,61292000000.0,9,33.3333333333333,3.3937381713763624,2925.942822269057,2934.181489106827,2337.237408999861,2019
17,6.8985,54.5704679286019,71.6565659527298,57.9728281593099,23.306659433449067,2075000000.0,8613000000.0,8,25.0,0.24091489608730987,1364.2616982150475,1791.4141488182452,1449.3207039827475,2019
18,1.078,75.8807959109163,64.1994709188962,74.9647942881937,23.720297266232024,8535000000.0,1523000000.0,11,36.3636363636363,5.604070912672357,2759.301669487861,2334.526215232585,2725.9925195706755,2019
19,2.02283,90.457223850172,83.5639264418369,78.6823991164056,24.41618711188668,3394000000.0,8153000000.0,10,20.0,0.4162884827670796,1809.14447700344,1671.278528836738,1573.647982328112,2019
20,5.43333,11.2157612967329,24.4156616046266,23.5726072607261,22.570757193750218,2480900000.0,2749886000.0,7,28.5714285714285,0.9021828541255892,320.45032276379635,697.5903315607582,673.5030645921726,2019
21,6.0085,47.7465153381101,29.9850761946205,15.2631436753661,23.527171523692143,4421000000.0,7676000000.0,8,25.0,0.575951016154247,1193.6628834527526,749.6269048655125,381.5785918841525,2019
22,6.05467,61.1041666666666,76.2514775413711,54.6366678500519,23.218710928444864,4615881000.0,5573753000.0,8,25.0,0.8281459547992169,1527.604166666665,1906.2869385342776,1365.9166962512975,2019
23,4.53333,9.37669376693766,29.1068580542264,78.2744107744108,22.698850315550317,945001000.0,4239793000.0,8,25.0,0.22288847592323494,234.41734417344148,727.67145135566,1956.86026936027,2019
24,4.69167,89.3033410470281,94.2555726561337,73.3848484848484,23.675829615099023,5065000000.0,9081000000.0,8,37.5,0.5577579561722277,3348.875289263554,3534.5839746050137,2751.9318181818153,2019
25,1.51783,88.1605933890879,63.8935362390419,90.6646464646464,24.321947023142197,21230000000.0,7874000000.0,9,33.3333333333333,2.696215392430785,2938.686446302927,2129.7845413013947,3022.1548821548768,2019
