,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
0,MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",8/9/1976,66740,1902
1,AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916
2,ABT,Abbott,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1800,1888
3,ABBV.K,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888)
4,ABMD.O,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,815094,1981
5,ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989
6,ATVI.O,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,718877,2008
7,ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/1981,7084,1902
8,ADBE.O,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982
9,ADP.O,ADP,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/1981,8670,1949
10,AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1158449,1932
11,AES,AES Corporation,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981
12,AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955
13,A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1090872,1999
14,APD,Air Products and Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,1940
15,AKAM.O,Akamai,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998
16,ALK,Alaska Air Group,reports,Industrials,Airlines,"SeaTac, Washington",5/13/2016,766421,1985
17,ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994
18,ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994
19,ALGN.O,Align Technology,reports,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017,1097149,1997
20,ALLE.K,Allegion,reports,Industrials,Building Products,"New York City, New York",12/2/2013,1579241,1908
21,LNT.O,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541,1917
22,ALL,Allstate,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051,1931
23,GOOGL.O,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1652044,1998
24,GOOG.O,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1652044,1998
25,MO,Altria,reports,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,764180,1985
26,AMZN.O,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994
27,AMCR.K,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,1748790,2019 (1860)
28,AMD.O,AMD,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969
29,AEE,Ameren,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902
30,AAL.O,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,1934
31,AEP.O,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,4904,1906
32,AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",6/30/1976,4962,1850
33,AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",3/31/1980,5272,1919
34,AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,1995
35,AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1410636,1886
36,AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027,1894
37,ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/2001,1140859,1985
38,AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1930
39,AMGN.O,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980
40,APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1932
41,ADI.O,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/1999,6281,1965
42,ANSS.O,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969
43,AON,Aon,reports,Financials,Insurance Brokers,"London, UK",4/23/1996,315293,1982 (1919)
44,APA.O,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1841666,1954
45,AAPL.O,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977
46,AMAT.O,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951,1967
47,APTV.K,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1521332,1994
48,ACGL.O,Arch Capital Group,reports,Financials,Reinsurance,"Hamilton, Bermuda",11/1/2022,947484,1995
49,ANET.K,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004
50,AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016,354190,1927
51,AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",4/10/2007,1267238,1892
52,T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
53,ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,731802,1906
54,ADSK.O,Autodesk,reports,Information Technology,Application Software,"San Francisco, California",12/1/1989,769397,1982
55,AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,866787,1979
56,AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia",1/10/2007,915912,1978
57,AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818,1990
58,BKR.O,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017
59,BALL.K,Ball Corporation,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,1880
60,BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,1998 (1923 / 1874)
61,BBWI.K,"Bath & Body Works, Inc.",reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/1983,701985,1963
62,BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931
63,BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897
64,WRB,Berkley,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,11544,1967
65,BRKb,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,1839
66,BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,1966
67,BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/2020,12208,1952
68,TECH.O,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/2021,842023,1976
69,BIIB.O,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,875045,1978
70,BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/2011,1364742,1988
71,BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/1995,1390777,1784
72,BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/1957,12927,1916
73,BKNG.O,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1075531,1996
74,BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,1880
75,BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,1970
76,BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/1995,885725,1979
77,BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",3/4/1957,14272,1989
78,AVGO.O,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1730168,1961
79,BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962
80,BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/2021,79282,1939
81,BFb,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,1870
82,CHRW.O,C.H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,1905
83,CDNS.O,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,1988
84,CZR.O,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021,1590895,1973
85,CPT,Camden Property Trust,reports,Real Estate,Residential REITs,"Houston, Texas",4/4/2022,906345,1981
86,CPB,Campbell Soup Company,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,16732,1869
87,COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1994
88,CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,1971
89,KMX,CarMax,reports,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/2010,1170010,1993
