,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,101576.91225714,100822.69605562,101474.1085907,109860.63251072,140188.28037996,107403.85522657,92750.99682968,104365.31648608,93027.29751975,65073.42863085,57280.03577813
1,AOS,13664.0664567,8851.66293212,7770.65415552,7256.9054369,10535.84141456,8234.7906829,6743.23196538,5051.28613694,4920.63372558,2911.8390959,1856.79528468
2,ABT,248868.70801706,194055.86950369,153608.0625363,127035.56820456,99336.08120709,56551.40877843,66993.14030481,67790.69218172,59265.29581118,49538.0984255607,41911.7687667374
3,ABBV.K,239371.014961,189133.98155585,130938.9430591,138673.70318613,154390.7201554,101763.70013144,96842.40736308,104275.49187792,84013.41229172,,
4,ABMD.O,16341.3334833,14661.8140232,7695.79852265,14645.66824696,8286.54773445,4888.17029124,3831.24431912,1563.47941398,1063.33693046,522.55248192,712.32070614
5,ACN,272911.85353445,172695.1073073,138333.1297485,89886.62638095,98381.72790054,76126.4578542,68752.039125,59346.19768701,55669.76968652,46283.803426,37621.51672953
6,ATVI.O,51819.45749352,71759.78962725,45650.0133594,35535.27193726,47876.2174906,26837.43482681,28304.1272206,14488.45464105,12399.56233084,11816.92553886,14096.7867656
7,ADM,37812.6347634,28047.57196009,25802.41070025,22969.60004375,22414.75250496,26266.99516375,21836.65440516,33108.611172,28555.901472,18038.13202521,19104.2676968
8,ADBE.O,269807.148,239917.05777796,159653.96603429,110435.32914848,86383.33377336,51189.521709,46857.21084506,36258.3161398,29932.753133675,18653.65811928,13877.62590566
9,ADP.O,103904.87707636,75557.0266238,73775.0241745,57395.48526888,51972.5614587,46371.58324326,39073.42518528,40189.07549937,34039.7640222711,24245.9597681287,23155.1209483036
10,AAP,14957.75985876,10687.76843789,11092.58486336,11477.84499374,7366.89590667,12456.30106,11022.84021447,11639.22672,8061.0562746,5307.89053685,5044.4059281
11,AES,16203.0850875,15630.581978,13212.6578544,9576.82154634,7151.98650978,7659.6244228,6439.29088077,9818.64832212,10569.68940073,7960.383663,9087.77112608
12,AFL,38626.63270741,31237.74004515,38829.552729,34683.8869582,34510.6736436,28403.9053248,25561.6468721,27028.96505,30688.7884,24908.33521856,20193.23538288
13,A,48214.42724105,36358.60033574,26461.74713365,21488.23982284,21632.51726819,14658.83345836,13888.0649109,13728.07457388,13569.582681321,10186.0141082681,8695.4667418171
14,APD,67459.73216862,60457.2718858,51857.23648518,35151.96891855,35903.52355072,31271.29733178,25939.980977573,28571.5608604425,21874.4995707984,16127.6252872206,16580.4006629048
15,AKAM.O,19016.64936864,17091.74080012,13959.1125198,9947.85686808,11001.62903952,11555.63806548,9364.92709639,11206.49997344,8445.22,7281.98,5792.03868408
16,ALK,6528.6858028,6430.516456,8344.9996115,7502.79861075,9045.03037847,10937.87070089,10154.61471314,7857.30456,5043.89402,3032.54493,2667.72243
17,ALB,27345.55385886,15704.56511136,7744.65273032,8185.28755695,14131.28880639,9681.92882912,6284.49865554,4705.39552217,5159.90105649,5544.823435,4572.08163399
18,ARE,34550.85080712,24049.65498614,18606.05398392,12391.36549924,12499.79089734,8825.29126673,6550.80605892,6341.71536,4527.96264,4414.85923064,4272.98220855
19,ALGN.O,51820.65988542,42136.07247696,21991.96780032,16751.12891283,17814.68405176,7660.54221426,5234.4262458,4489.00350074,4589.41297502,2258.42334375,1863.472888875
20,ALLE.K,11879.31996328,10711.5005657,11571.8277597,7576.89486873,7561.5924384,6144.987392,6322.51468928,5309.10737956,4243.47276843,,
21,LNT.O,15389.67757689,12870.16696439,13152.08699424,9973.4304735,9845.44157979098,8619.879059209,7085.422421292,7368.25201717248,5724.61898814177,4873.393471182,4895.33074682269
22,ALL,33727.43622365,33426.19809818,36428.8652442,28461.2647701,37572.66428211,27294.4561514,24047.84046784,29364.5,24488.46,19241.43,13851.70177366
23,GOOGL.O,1921854.64584366,1185281.04227696,922946.25729457,723465.24859933,729458.1896774,539067.89772181,528447.56292191,358535.933820861,187389.139940483,116333.213863871,104700.926213881
24,GOOG.O,1921854.64584366,1185281.04227696,922946.25729457,723465.24859933,729458.1896774,539067.89772181,528447.56292191,358535.933820861,187389.139940483,116333.213863871,104700.926213881
25,MO,81617.41336146,76195.185765,93238.1941141,92559.70461705,136263.82490598,131877.30716832,114095.06238901,97134.54974821,76780.5685559,63669.33534384,60972.9296749
26,AMZN.O,1691002.5952708,1634168.48044819,916153.9350048,734416.21019716,563535.05249725,356313.12360149,316831.55155945,144312.75,183044.61,113894.98,78717.9771195
27,AMCR.K,18413.35846498,18461.02747863,17562.33740468,10816.9598397056,13931.4125829205,12492.2165051948,11323.8458204675,13384.7219648449,11346.6843182021,9275.53677202119,8200.80892959689
28,AMD.O,1.1532372961849,110300.68432098,51070.95843408,18449.05720736,9918.12963884,10510.69123944,2274.18184098,2070.15889203,2800.6680321,1708.6747368,3763.3827906
29,AEE,22929.52706091,19296.97670268,18895.0880256,15935.41451216,14313.02673402,12728.62150308,10489.10231754,11191.138,8772.416,7453.73709312,8025.4058992
30,AAL.O,11629.36081512,9800.73206194,12563.50260828,14789.27077693,24896.30676819,24191.26353364,26694.28657665,38466.84488369,19090.52613525,,
31,AEP.O,45753.94297455,42212.94123438,46703.95670421,36865.19677224,36187.89756659,30958.15811768,28613.63389487,29716.52386824,22798.71436728,20728.3260316,19949.10492357
32,AXP,126717.3224996,97356.96789541,101866.53413282,81428.23506196,86200.7075875,67802.11847632,68454.30394465,95179.92,96536.72,64323.69134736,54787.12325139
33,AIG,47210.72199088,32617.36428924,44654.61593598,34863.9962027,53559.99932418,67082.19462189,76657.66536864,77064.159,74740.43263915,52113.5487441,44062.0038528
34,AMT,133313.41998,99708.1307856,101796.5707717,69680.77473159,61184.93916392,45116.24531136,41065.1281754,39213.795,31500.16056954,30548.91556947,23585.43895145
35,AWK,34285.21908728,27819.81307265,22212.8613252,16392.95253138,16319.565346,12880.32363612,10723.29981675,9557.1720985,7533.86756522,6562.9796127,5591.94766128
36,AMP,33752.68219622,22926.63248122,21104.95038272,14544.62381505,25069.69896417,17533.81727406,18528.95242804,24214.975,22381.9047738,12890.2792531,11231.2996892
37,ABC,27658.84234329,20010.78249872,17507.50425372,15793.0062216,20024.29392282,17209.63510714,21326.19251853,19717.25890904,16173.55652914,10167.84124416,9607.79361211
38,AME,34014.05240864,27824.04368464,22799.85305328,15714.2513044,16749.06384635,11247.5940336,12748.12756938,12943.44163247,12891.18027585,9128.91962502,6740.30415366299
39,AMGN.O,126717.92997294,133852.20727104,143239.82622887,124047.47022948,126235.8489925,108768.90477733,122450.04248778,121060.4,86130.4,66146.0233258,56282.90789775
40,APH,52303.50981372,39120.46678827,32089.29744861,24413.52472076,26808.7726288,20729.747808,16100.48513973,16652.33629498,14115.50600096,10374.1459042,7522.9045575
41,ADI.O,92337.37221744,54584.00412927,43769.05353196,31770.79443399,32819.64420564,22379.3460672,17263.19692824,17278.09749152,15841.52612812,12676.42874256,10661.03449004
42,ANSS.O,34998.903304,31244.6454026,21671.27788448,11944.06897292,12524.55721007,8002.89490113,8231.77813,7536.49126,8079.9343856,6238.22009174,5291.54936928
43,AON,66223.10794736,48128.108826,48334.00776816,35009.10041104,33486.293408,29342.87895038,25257.87061767,27039.5123127,25254.91957226,17721.09327985,15129.9434052
44,APA.O,9768.44482451,5356.41540258,9622.76858433,9963.0206025,16083.39779638,24082.37982898,16810.29040672,23594.13815793,34032.24,30772.0,34788.10923826
45,AAPL.O,2901644.91207,2232278.76747,1304764.76725,748539.08052,868879.61976,608960.24912,583612.70162,647361.0392,500740.628659369,499695.984588911,377518.843618606
46,AMAT.O,139816.44470528,78939.5800983,55870.16214192,31384.76348482,54000.13729968,34740.91822418,21454.32037263,30439.08181636,21289.96369656,13701.22701376,13983.37333029
47,APTV.K,44621.307393,35181.60597846,24244.70933748,16221.98895687,22551.18972502,15278.4314182545,20112.0565093035,18033.9517549684,15497.8828837942,10173.677568309,5922.04991497031
48,ACGL.O,17163.64487635,14645.3783799,17397.00753089,10753.59316448,11879.4231180698,10587.2583688965,8553.27940293297,7630.41405657888,7979.04593914184,6010.95787919801,4995.81634519013
49,ANET.K,44172.014625,21984.95159448,15539.5671768,15892.53211,17221.04971352,6794.14921927,5274.15490672,3914.4909496,,,
50,AJG,35168.85826,23792.15462,17762.58529,13535.1524,11440.96072,9254.72051184,7233.8933,7749.368,6269.848,4352.04,3816.54609072
51,AIZ,8880.38986474,8004.17699802,7948.14485856,5550.1039464,5426.37253388,5294.19440042,5302.68063076,4807.55225034,4826.22410424,2731.1796062,3781.96913842
52,T,132660.884914,154768.817266,215587.475685,156860.929056,180248.910198,197234.660598,159863.663432,131575.490865,138760.872198,142075.611877,135329.407152
53,ATO,13903.52768049,12027.67521918,13675.92485056,10837.91525712,9530.19816609,7792.7745261,6433.31124128,5618.75598708,4131.26235258,3169.24509568,3008.78800885
54,ADSK.O,61854.32512623,67141.03031202,40367.25454692,28166.72639796,23090.57095026,16471.39561152,13728.94019973,13664.88147024,11351.9664,7943.145,6878.844
55,AZO,43257.74143044,26979.55461664,28106.23254141,21130.4644925,19458.11428055,22604.2794698,22411.84430446,19748.22528915,16110.96692302,12876.97248171,12790.76363013
56,AVB,35297.15948798,22397.46914269,29287.0784115,24108.6965722,24635.41639719,24327.27911055,25203.19791535,21576.93733998,15300.93584985,15214.26590684,12417.6877816
57,AVY,17931.03941031,12938.92285942,10923.84859308,7789.18157784,10111.85722848,6248.98923914,5708.46811288,4726.32257776,4849.14890922,3477.78975996,3045.73363104
58,BKR.O,24940.93209414,21585.1024869,26329.61344706,23648.5295075,36236.8745102,19134.9101621803,14019.3937956748,16896.6563252243,17061.6315549069,12509.972284271,14788.6518752385
59,BALL.K,31181.29290114,30480.26522424,21155.46644642,15596.01169786,13249.60616325,13122.67448387,9914.64298517,9333.9693315,7471.76640336,6884.87364375,5807.98106577
60,BAC,364109.89858368,262206.17552255,316807.68266322,238251.2161568,307911.715686,223321.5310534,175242.03286293,188140.94489564,164914.45516872,125135.64504,56355.44728584
61,BBWI.K,17986.4832847,8358.92163291954,4048.77149164313,5707.75906202759,13737.5018010741,15215.9313702886,21875.7439526407,19551.3099468571,13606.8892933037,10284.9945446776,9062.48922777035
62,BAX,42979.52497544,40988.06825552,42692.68176578,35025.52048836,35217.93550272,24117.40996224,20868.725255,21579.0666464302,20505.0658965252,19894.9401573978,15156.9505040488
63,BDX,69819.5777720801,70881.9607471746,71902.7620315919,59106.0890745523,47876.4125646907,34415.932243998,31820.8800352736,26176.5184194926,20792.4573477372,14785.7669650134,15560.5455708812
64,WRB,14443.0690581379,11517.777304527,12349.192848335,8621.79023882843,8177.76919060696,7454.25075401748,6124.44579843372,5895.12333609675,5104.22219703675,4566.65677047,4194.46172006746
65,BRKb,669122.963587563,543678.51384128,553690.0150055,502599.56754708,489248.72867154,400566.66954078,325274.64133284,370652.63983595,292396.2811032,221892.4888807,189215.8951034
66,BBY,24440.9872368,25840.10678108,22720.6598466,14251.61909424,20015.59524959,13390.96382599,10295.4226373432,13323.3155053759,13446.2525714382,3903.986627899,7977.73990948545
67,BIO,22439.3369459822,17344.65287539,11074.59717135,6946.49518094,8322.45759605,5367.74886711,4058.46707958,3491.15405453,3547.486536341,2974.76408176,2697.02055865
68,TECH.O,20329.02481126,12260.38543785,8366.00550984,5465.4615108,4853.2251599,3836.55048686,3347.22177,3425.8572348,3490.08348727,2516.88251556,2525.66484682
69,BIIB.O,35242.49946304,37679.44784142,53542.51845894,60630.1424874,67370.20750152,56831.7206334167,62898.6412593157,73838.1759785377,60828.1480304536,31898.3644590599,24623.8429974456
70,BLK,139089.29057412,110058.5778429,78018.5212136,62269.88414454,82364.23442731,61673.8685463,56388.79725228,59684.58133428,53396.32574661,35045.03357845,31886.42000992
71,BK,47963.68733904,37607.6035642,46414.27567,46541.75668965,55153.84393258,50096.60910298,45051.52266,46341.0825,39910.215,29901.693,24143.50536983
