,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,9408000000.0,8941000000.0,8661000000.0,8283000000.0,8742000000.0,8393000000
1,AOS,707800000.0,538900000.0,561400000.0,644800000.0,601000000.0,534900000
2,ABT,12126000000.0,8757000000.0,7684000000.0,7008000000.0,4892000000.0,4411000000
3,ABBV.K,28053000000.0,19598000000.0,15557000000.0,14180000000.0,11747000000.0,10792000000
4,ABMD.O,263795000.0,253654000.0,269649000.0,238933000.0,168142000.0,96340000
5,ACN,10397826000.0,8446286000.0,7235362000.0,6923020000.0,6492437000.0,5703636000
6,ATVI.O,3793000000.0,3288000000.0,2308000000.0,3008000000.0,2512000000.0,2576000000
7,ADM,3975000000.0,2762000000.0,2658000000.0,2957000000.0,2464000000.0,2537000000
8,ADBE.O,6802000000.0,5180000000.0,4175690000.0,3186861000.0,2494092000.0,1823629000
9,ADP.O,4321800000.0,3807500000.0,3749500000.0,3571700000.0,2935000000.0,2844800000
10,AAP,1162860000.0,1050015000.0,992883000.0,898075000.0,824512000.0,1051599000
11,AES,3700000000.0,3594000000.0,3203000000.0,3396000000.0,3467000000.0,3361000000
12,AFL,6775000000.0,5656000000.0,6027000000.0,5580000000.0,5480000000.0,5613000000
13,A,1760000000.0,1390000000.0,1298000000.0,1215000000.0,1062000000.0,959000000
14,APD,3750700000.0,3589100000.0,3388800000.0,3251800000.0,2937100000.0,2606200000
15,AKAM.O,1357834000.0,1200063000.0,1024192000.0,900572000.0,764859000.0,812181000
16,ALK,154000000.0,-1284000000.0,1528000000.0,1179000000.0,1702000000.0,1792000000
17,ALB,711646000.0,816727000.0,910491000.0,957489000.0,825142000.0,742637000
18,ARE,1339134000.0,1160375000.0,976981000.0,855934000.0,727479000.0,579414000
19,ALGN.O,1085129000.0,486609000.0,597473000.0,521291000.0,391350000.0,272923000
20,ALLE.K,622000000.0,652000000.0,672500000.0,616900000.0,571700000.0,504300000
21,LNT.O,1452000000.0,1355000000.0,1344900000.0,1201300000.0,1133000000.0,1052100000
22,ALL,14038000000.0,14269000000.0,11720000000.0,8660000000.0,10404000000.0,8204000000
23,GOOGL.O,91144000000.0,54903000000.0,47579000000.0,41624000000.0,35813000000.0,29816000000
24,GOOG.O,91144000000.0,54903000000.0,47579000000.0,41624000000.0,35813000000.0,29816000000
25,MO,12059000000.0,12101000000.0,10911000000.0,10050000000.0,9956000000.0,9214000000
26,AMZN.O,48291000000.0,51108000000.0,30256000000.0,25034000000.0,6784000000.0,10873000000
27,AMCR.K,2052000000.0,1987000000.0,1717000000.0,1319900000.0,1391600000.0,1433500000
28,AMD.O,4043000000.0,1695000000.0,805000000.0,621000000.0,219000000.0,-337000000
29,AEE,2552000000.0,2385000000.0,2269000000.0,2312000000.0,2306000000.0,2167000000
30,AAL.O,-3037000000.0,-8819000000.0,6434000000.0,5977000000.0,7231000000.0,7808000000
31,AEP.O,6248600000.0,5758000000.0,5352300000.0,5153700000.0,5512000000.0,5522600000
32,AXP,11638000000.0,5839000000.0,9553000000.0,9344000000.0,8775000000.0,7928000000
33,AIG,19955000000.0,11032000000.0,17155000000.0,12534000000.0,10950000000.0,9813000000
34,AMT,7964300000.0,6718200000.0,4723900000.0,4114800000.0,3802700000.0,3311729000
35,AWK,1832000000.0,1852000000.0,1796000000.0,1684000000.0,1729000000.0,1545000000
36,AMP,4776000000.0,2666000000.0,3025000000.0,2994000000.0,2889000000.0,2262000000
37,ABC,3485603000.0,3189908000.0,2426148000.0,2355069000.0,2222466000.0,2450600000
38,AME,1600782000.0,1327084000.0,1411422000.0,1275040000.0,1098321000.0,981613000
39,AMGN.O,11037000000.0,12740000000.0,11927000000.0,12581000000.0,12295000000.0,11907000000
40,APH,2571100000.0,1958000000.0,1956700000.0,1995100000.0,1658400000.0,1458800000
41,ADI.O,2984191000.0,2381604000.0,2617518000.0,2759970000.0,1796283000.0,1251586000
42,ANSS.O,620146000.0,581631000.0,575556000.0,535829000.0,470106000.0,449229000
43,AON,3852000000.0,3317000000.0,3197000000.0,2785000000.0,1956000000.0,2130000000
44,APA.O,4083000000.0,1982000000.0,3690000000.0,4535000000.0,3083000000.0,2508000000
45,AAPL.O,130541000000.0,120233000000.0,77344000000.0,76477000000.0,81801000000.0,70744000000
46,AMAT.O,7668000000.0,4871000000.0,3798000000.0,5137000000.0,4490000000.0,2295000000
47,APTV.K,2003000000.0,1617000000.0,2081000000.0,2336000000.0,2128000000.0,2253000000
48,ACGL.O,3221023000.0,2715053000.0,2794133000.0,1767147000.0,1756578000.0,1545153000
49,ANET.K,975073000.0,744274000.0,838623000.0,706018000.0,490912000.0,263158000
50,AJG,2101700000.0,1733400000.0,1226400000.0,1016700000.0,875300000.0,863200000
51,AIZ,4923100000.0,4427300000.0,4075700000.0,2862100000.0,1950600000.0,2412569000
52,T,51434000000.0,54510000000.0,59218000000.0,56661000000.0,49134000000.0,51795000000
53,ATO,1382975000.0,1242227000.0,1137514000.0,1084217000.0,1047179000.0,950326000
54,ADSK.O,895400000.0,738300000.0,491500000.0,112100000.0,-306600000.0,-273800000
55,AZO,3712952000.0,3395210000.0,2899045000.0,2586094000.0,2155940000.0,2403120000
56,AVB,1377181000.0,1428669000.0,1493797000.0,1464782000.0,1387810000.0,1303446000
57,AVY,1308400000.0,1068100000.0,1006200000.0,942000000.0,910600000.0,786400000
58,BKR.O,2684000000.0,2358000000.0,3000000000.0,2773000000.0,1781000000.0,-165000000
59,BALL.K,2133000000.0,1933000000.0,1695000000.0,1731000000.0,1815000000.0,1309000000
60,BAC,40239000000.0,35143000000.0,52421000000.0,51228000000.0,41725000000.0,37408000000
61,BBWI.K,2223000000.0,1829000000.0,1217000000.0,2027000000.0,2299000000.0,2521000000
62,BAX,2992000000.0,2669000000.0,2860000000.0,2640000000.0,2382000000.0,2170000000
63,BDX,5332000000.0,5494000000.0,4764000000.0,5170000000.0,4114000000.0,2617000000
64,WRB,1603563000.0,1170207000.0,1089001000.0,1079007000.0,1048290000.0,1129595000
65,BRKb,47039000000.0,39571000000.0,42938000000.0,42255000000.0,32270000000.0,36896000000
66,BBY,3880000000.0,3405000000.0,2862000000.0,2748000000.0,2539000000.0,2416000000
67,BIO,687630000.0,548157000.0,388661000.0,333172000.0,309056000.0,273423000
68,TECH.O,400901000.0,334239000.0,233499000.0,230911000.0,227901000.0,209446000
69,BIIB.O,3982900000.0,5432400000.0,8021500000.0,7214800000.0,6778400000.0,6343400000
70,BLK,8139000000.0,6808000000.0,5956000000.0,5723000000.0,5479000000.0,4876000000
71,BK,6923000000.0,6758000000.0,7993000000.0,7526000000.0,6813000000.0,6656000000
72,BA,915000000.0,-4241000000.0,8520000000.0,13915000000.0,12166000000.0,8120000000
73,BKNG.O,2930000000.0,911000000.0,5814000000.0,5767000000.0,4928000000.0,4156135000
74,BWA,2176000000.0,1493000000.0,1655000000.0,1718800000.0,1624500000.0,1506600000
75,BXP,1690412000.0,1590604000.0,1725385000.0,1572750000.0,1526325000.0,1524357000
76,BSX,2921000000.0,2140000000.0,3573000000.0,2634000000.0,2513000000.0,2155000000
