,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,114078912257.14,115922696055.62,113348108590.7,121246632510.72,148490280379.96,117144855226.57
1,AOS,13104266456.7,8475562932.11999,7595054155.52001,6851405436.90001,10236641414.56,7911190682.9
2,ABT,257789708017.06,208096869503.69,168572062536.3,143236568204.56,112348081207.09,60152408778.43
3,ABBV.K,307870014961.0,268261981555.85,158692943059.1,170396703186.13,182631720155.4,131123700131.44
4,ABMD.O,15690774483.3,14128730023.2,7250478522.65,14235222246.96,8039311734.45,4671926291.24
5,ACN,267918200534.45,164606477307.3,132972992748.5,85921055380.95,95515846900.54,72691281854.2
6,ATVI.O,45426457493.52,67761789627.25,43235013359.4,34897271937.26,48688217490.6,29170434826.81
7,ADM,45909634763.4,35336571960.09,33807410700.25,29965600043.75,29031752504.96,32440995163.75
8,ADBE.O,267765148000.0,238769057777.96,160140194034.29,107365513148.48,82904065773.36,48659714709.0
9,ADP.O,105215177076.36,75936226623.8,74367424174.5,57780485268.88,51497861458.7,45561683243.26
10,AAP,15387116858.76,10651435437.89,11265994863.36,11553236993.74,8047951906.67,13379812060.0
11,AES,38892085087.5,38023581978.0,34626657854.4,30667821546.34,31183986509.78,30230624422.8
12,AFL,40368632707.41,33360740045.15,40721552729.0,36533886958.2,34831673643.6,28898905324.8
13,A,49368427241.05,37276600335.74,27486747133.65,21044239822.84,20969517268.19,14276833458.36
14,APD,69844432168.62,62370471885.8,53103236485.18,36307368918.55,36288023550.72,35322797331.78
15,AKAM.O,19057922368.64,17537447800.12,14212349519.8,9691459868.08,10906759039.52,11278923065.48
16,ALK,5983685802.8,6493516456.0,8434999611.5,8134798610.75,10006030378.47,9847870700.89
17,ALB,28973718858.86,18747312111.36,9520551730.32,9399287556.95,15016231806.39,13050072829.12
18,ARE,45737448807.12,33059876986.14,26163910983.92,18486175499.24,17770495897.34,13671092266.73
19,ALGN.O,50582837885.42,41520540476.96,21209594800.32,16145971912.83,17135617051.76,7047576214.26
20,ALLE.K,12809719963.28,11714500565.7,12768227759.7,8841994868.73,8678592438.4,7407787392.0
21,LNT.O,22960677576.89,19884166964.39,19699886994.24,15824830473.5,14881969588.37,13104491216.92
22,ALL,42910436223.65,41661198098.18,45523865244.2,36754264770.1,44977664282.11,33761456151.4
23,GOOGL.O,1794388645843.66,1067708042276.96,805851257294.57,621035248599.331,633279189677.401,459949897721.81
24,GOOG.O,1794388645843.66,1067708042276.96,805851257294.57,621035248599.331,633279189677.401,459949897721.81
25,MO,112265900274.58,101459185765.0,119668194114.1,104109704617.05,147611824905.98,143496307168.32
26,AMZN.O,1678876595270.8,1616340480448.19,912591935004.801,751870210197.16,582411052497.251,356906123601.49
27,AMCR.K,24427358464.98,24360027478.63,22921937404.68,,,
28,AMD.O,170480144474.5,108902684320.98,50733958434.08,18696057207.36,10465129638.84,10884691239.44
29,AEE,36318527060.91,30446976702.68,28761088025.6,25063414512.16,22804026734.02,20711621503.08
30,AAL.O,35690360815.12,34302732061.94,32628502608.28,34701270776.93,43812306768.19,40779263533.64
31,AEP.O,80600042974.55,73526331234.38,75271956704.21,61089396772.24,57410697566.59,51730858117.68
32,AXP,220446322499.6,196388967895.41,212206534132.82,178142235061.96,176893707587.5,146713118476.32
33,AIG,77342721990.88,68647364289.24,78882615935.98,67307996202.7,82709999324.18,97363194621.89
34,AMT,167858819980.0,123876730785.6,123057070771.7,91383074731.59,81391496163.92,64432184311.36
35,AWK,45299219087.28,37954813072.65,31267861325.2,24710952531.38,23697565346.0,19691323636.12
36,AMP,49835682196.22,37010632481.22,34120950382.72,27265623815.05,38362698964.17,29490817274.06
37,ABC,31783773343.29,19711844498.72,18741009253.72,18080112221.6,21382868922.82,18930497107.14
38,AME,36309963408.64,29320045684.64,24493262053.28,17096799304.4,18443094846.35,12956551033.6
39,AMGN.O,151375929972.94,155779207271.04,152177826228.87,128553470229.48,120660848992.5,106111904777.33
40,APH,56312509813.72,41544466788.27,35107497448.61,26696624720.76,28922072628.8,22732047808.0
41,ADI.O,97129283217.44,58673246129.27,48612650531.96,37286877433.99,39622890205.64,20055730067.2
42,ANSS.O,34670989304.0,30823195402.6,20938292884.48,11214594972.92,11597839210.07,7164539901.13
43,AON,67433107947.36,48882108826.0,49924007768.16,36587100411.04,37281293408.0,34785878950.38
44,APA.O,19606444824.51,16959415402.58,21204768584.33,20134020602.5,25313397796.38,34280379828.98
45,AAPL.O,2964572912070.01,2254432767469.99,1312254767250.0,796721080520.0,910378619760.0,628837249120.001
46,AMAT.O,139809444705.28,78649580098.3,57565162141.92,32663763484.82,52028137299.68,34316918224.18
47,APTV.K,46093307393.0,37284605978.46,28502709337.48,19759988956.87,27304189725.02,22289051774.5
48,ACGL.O,19590309876.35,18336233379.9,20562727530.89,14253629164.48,15904951158.48,13013256797.89
49,ANET.K,40785533625.0,19139050594.48,13092527176.8,14266773110.0,15916134713.52,6034042219.27
50,AJG,37990158260.0,27792454620.0,21728285290.0,16528852400.0,13961360720.0,11563320511.84
51,AIZ,9054389864.74,7816276998.02,8239844858.56,6272103946.4,5501472533.88,5343128400.42
52,T,352529600000.0,373566760000.0,455345400000.0,383598120000,354613320000,381494730000
53,ATO,21117461680.49,16538811219.18,17645741850.56,14468589257.12,13018579166.09,11013830526.1
54,ADSK.O,62689025126.23,67162130312.02,41082454546.92,28676326397.96,23222070950.26,15992395611.52
55,AZO,47567882430.44,31063344616.64,33431131541.41,26034415492.5,24183421280.55,27406187469.8
56,AVB,42778006487.98,29896952142.69,36426151411.5,31592114572.2,31736143397.19,31087300110.55
57,AVY,20922839410.31,14798322859.42,12697548593.08,9438581577.84,11560957228.48,7360189239.14
58,BKR.O,27517932094.14,25344102486.9,30632613447.06,26281529507.5,36505874510.2,26832927934.19
59,BALL.K,38362992901.14,37535965224.2401,27806166446.42,21825711697.86,20408306163.25,20731374483.87
60,BAC,613231898583.679,448873175522.55,656855682663.22,493071216156.8,605925495686.0,536218709653.4
61,BBWI.K,21398483284.7,14186857457.97,10248721165.36,12586458570.31,22050008958.94,23899334019.92
62,BAX,45722524975.44,43151068255.52,44943681765.78,35628520488.36,35191935502.72,24347409962.24
63,BDX,86931230443.96,87791920948.02,92576961061.56,80965360556.28,53779034952.36,45283564387.55
64,WRB,15765764769.21,12383358377.26,14265297322.8,10945823800.13,10480710410.7,9725315738.8
65,BRKb,722693034349.0,628612513841.28,585057015005.5,562614567547.08,551606728671.54,420880669540.781
66,BBY,22213987236.8,22085106781.08,22768659846.6,14273619094.24,18004595249.59,11639963825.99
67,BIO,21114622945.982,16629102875.39,10534926171.35,6526500180.94,8040927596.05,4996066867.11
68,TECH.O,20401776811.26,12296634437.85,8693650509.84,5863213510.8,5068000159.9,4061813486.86
69,BIIB.O,40010299463.04,41510647841.42,55054518458.94,62126042487.4,70361807501.52,63915570754.82
70,BLK,139751290574.12,112921577842.9,80540521213.6,61338884144.54,81492234427.31,61676868546.3
71,BK,-42972312660.96,-24600396435.8,13803275670.0,12552756689.65,22487843932.58,2419609102.98
72,BA,160913607775.68,158762448740.28,197380872062.08,185109031502.5,176437062217.93,96929387623.36
73,BKNG.O,97389745116.55,91828646850.24,86115158955.73,81371734518.12,87131344866.04,75307119428.48
74,BWA,14015491364.25,10324201254.24,10237668812.66,9113694153.84,12843138913.91,10577554351.52
75,BXP,32949030809.92,28846632221.67,35171760482.28,30489789893.9,32282580247.98,31064546798.8
76,BSX,67671680422.96,58791576451.05,73638702830.24,55361519600.54,39513516866.43,34641074591.5
77,BMY,167384861697.25,164038386661.54,142996834877.17,85428692272.52,101748957370.88,99100678044.24
78,AVGO.O,302324467046.88,211550338716.3,153482319169.78,116761844706.28,114410219827.5,83764936775.62
79,BR,25162002391.76,19132404182.8,15573282776.66,12176236876.25,11560925178.26,8793344813.7
80,BRO,20936048244.92,14487757086.4,12184458094.92,8121580856.12,7578778115.5,6899997783.02
81,BFb,35308685334.66,38708849525.5,33694928067.73,25019703824.4,28142710547.48,19551790318.49
82,CHRW.O,15580599535.06,13733867941.49,11502567000.4,12681099407.37,13661644998.82,11460299159.76
83,CDNS.O,50978791350.0,37444576330.0,19152547480.0,12062616160,11770022200,7391393300
84,CZR.O,45919287083.56,42267743039.26,8328084039.64,5589074945.24,4619493324.25,1544484360.8
85,CPT,21066949526.44,12439893255.28,12666890444.3,10525557297.1,10465320664.58,9602288759.48
86,CPB,18093528177.88,20009389976.4,23193807248.74,19580947501.76,17768202529.45,21874427123.13
87,COF,99722504395.22,89227402167.7,98508706000.0,86070694910.59,94798825643.56,86093972827.4
88,CAH,17703264222.98,19712605247.16,21576060945.32,20244183139.6,28126765084.07,26700955844.94
89,KMX,38289936949.18,30006762461.46,29178277136.13,24221451915.82,24172705853.08,23214204185.26
90,CCL,45989110306.594,39579569802.15,43944231307.87,43104239804.451,56284825630.038,46587904614.366
91,CARR.K,54150240621.28,41158443786.68,,,,
92,CTLT.K,24561205017.26,19798379023.86,11533387354.2,6545695467.84,6949869163.76,5168412846.96
93,CAT,138157495663.74,128112206230.94,111277199844.8,100940215717.66,120152633851.56,85326631532.9
94,CBOE.K,14786503339.2,10695369760.96,14046302640.0,12063113344.45,15330310292.16,5947530995.4
95,CBRE.K,37331088119.66,22680808749.12,23222217570.42,16642561292.08,17770583266.78,14583091424.28
96,CDW.O,31614461673.84,21525816327.69,23559144474.52,15120565527.45,13968335778.74,11483895565.7
97,CE,21107834714.88,19013339288.62,18478018576.4,15127204830.81,17840943784.56,13445528236.3
98,CNC,53620269600.0,39688184370.0,27045067760.0,23417015200.0,17881511647.28,11426109688.99
99,CNP,33789642635.94,26545929036.8,29313131786.21,21801632855.01,19647110315.24,18079014828.8
100,CDAY.K,16559365613.26,16160187999.68,10146240062.0,5293558457.9,,
101,CF,20564571643.2,14336695908.45,16765194657.14,16443736468.11,16789882441.92,14444434040.12
102,CRL,21739291400.0,14229515532.36,9243643183.0,7004766815.6,6231818692.35,4771601043.53
103,SCHW.K,552435455795.0,405880874208.96,260280609670.4,256245304825.53,232926408435.12,199592279168.45
