,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
0,MMM,True,100.0,88.2281958855095,88.2281958855095,85.3019217091225,92.1952890681559,86.0625185524586,100.0
1,AOS,,,,,,,,
2,ABT,True,100.0,49.8083712857387,77.1167425714775,52.4017165005537,88.0842207103306,74.2099085217524,22.5
3,ABBV.K,True,100.0,45.1739728675988,45.1739728675988,41.3510101010101,53.466946914487,35.5840899041369,100.0
4,ABMD.O,,,,,,,,
5,ACN,True,100.0,72.9108497320473,72.9108497320473,75.7840870317564,82.4196923214173,63.8607085346215,100.0
6,ATVI.O,False,,40.6405064679981,40.6405064679981,9.45017182130584,28.1412767176255,60.7608324803821,100.0
7,ADM,True,100.0,48.5537443163075,57.7135492386756,49.1708914087946,54.2047534240962,73.1728922867345,39.3939393939393
8,ADBE.O,True,100.0,65.2901296659307,74.0585202014266,81.7795538739002,70.6340073401021,74.6910961747139,56.5217391304347
9,ADP.O,True,100.0,41.5504649307254,41.5504649307254,29.0742822500061,42.8528323016144,44.1718367211201,100.0
10,AAP,False,,45.548332386539,45.548332386539,6.92161339421614,38.2483966650633,73.2002729443876,100.0
11,AES,True,100.0,46.2552562991701,46.2552562991701,31.5596195743254,39.4483931369177,80.0867608423339,85.4166666666666
12,AFL,True,100.0,59.6822126913647,59.6822126913647,51.4209584270275,71.5400257690597,54.977687781674,100.0
13,A,True,100.0,76.9378832027809,76.9378832027809,73.9410299003322,91.2661134444622,59.4709115923767,100.0
14,APD,True,100.0,75.5096895020603,75.5096895020603,74.028574369104,72.6744502094606,82.9304817049663,86.6666666666666
15,AKAM.O,False,,42.6257232558361,42.6257232558361,38.5268912529551,40.9932497589199,45.2611139234893,73.9130434782608
16,ALK,,,,,,,,
17,ALB,True,100.0,67.3304422080686,67.3304422080686,60.3841799828163,65.5343123045262,82.6456144759061,100.0
18,ARE,False,,27.3091103981288,27.3091103981288,14.7118374758824,22.6248192767285,46.4039576936199,100.0
19,ALGN.O,,,,,,,,
20,ALLE.K,False,,40.6132779198636,40.6132779198636,3.46020761245674,30.9691011235955,71.2037037037037,100.0
