,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,5919.0,5458.0,4529.0,5539.0,5631.0,5058.0,4841.0,4998.0,4721.0,4511.0,4357.0
1,AOS,487.1,344.9,370.0,444.2,378.3,326.5,282.9,207.8,169.7,162.6,111.2
2,ABT,7071.0,4497.0,3601.0,2464.0,1813.0,1063.0,2606.0,1721.0,1988.0,237.0,1126.0
3,ABBV.K,11549.0,4622.0,7882.0,5773.0,5709.0,5953.0,5144.0,1774.0,4128.0,5275.0,3433.128
4,ABMD.O,136.505,225.525,203.009,259.016,133.57,52.116,38.147,113.688,7.351,15.014,1.495
5,ACN,6988.96,5990.545,5185.313,4846.241,4392.245,3634.932,4349.603,3273.789,3175.958,3554.519,2824.933
6,ATVI.O,2699.0,2197.0,1503.0,1508.0,909.0,966.0,892.0,835.0,1010.0,1149.0,1085.0
7,ADM,2731.0,1774.0,1418.0,1782.0,1223.0,1288.0,1846.0,2253.0,1354.0,694.0,2018.0
8,ADBE.O,4822.0,5260.0,2954.413,2776.774,1693.954,1168.782,629.551,268.395,289.985,832.775,832.847
9,ADP.O,2948.9,2598.5,2460.2,2293.3,2068.1,1787.8,1493.4,1376.5,1242.6,1122.2,1375.2
10,AAP,616.108,493.021,486.896,418.192,331.705,459.622,473.398,493.825,391.758,387.67,394.682
11,AES,-931.0,272.0,649.0,1348.0,-180.0,155.0,577.0,1072.0,705.0,-455.0,1604.0
12,AFL,4325.0,4778.0,3304.0,2938.0,2671.0,2659.0,2533.0,2951.0,3158.0,2866.0,1937.0
13,A,1210.0,719.0,1071.0,868.0,684.0,462.0,438.0,232.0,225.0,1153.0,1012.0
14,APD,2253.9,2044.6,1945.4,1797.0,1727.5,1155.2,1122.0,965.9,996.0,1042.5,1025.2
15,AKAM.O,665.65,570.16,479.131,301.473,248.766,320.727,321.406,333.948,293.487,203.989,200.904
16,ALK,464.0,-1324.0,769.0,437.0,723.0,797.0,848.0,605.0,508.0,316.0,244.5
17,ALB,104.172,319.094,474.789,607.575,381.881,419.001,299.61,194.695,403.997,287.779,376.443
18,ARE,654.282,827.171,404.047,402.793,194.204,-49.889,146.157,99.142,134.525,94.848,117.27
19,ALGN.O,772.02,1775.888,450.304,408.928,318.937,191.366,144.02,145.832,64.295,58.691,66.716
20,ALLE.K,483.3,314.5,402.1,413.5,329.0,231.2,154.7,183.7,48.4,230.0,231.7
21,LNT.O,674.0,624.0,567.4,516.7,448.0,384.0,390.9,395.7,382.1,340.8,341.4
22,ALL,5159.0,5429.0,4327.0,2131.0,3045.0,1877.0,2171.0,2850.0,2280.0,2306.0,787.0
23,GOOGL.O,76033.0,40269.0,34343.0,30736.0,22486.0,19478.0,16348.0,13620.0,13160.0,11553.0,9737.0
24,GOOG.O,76033.0,40269.0,34343.0,30736.0,22486.0,19478.0,16348.0,13620.0,13160.0,11553.0,9737.0
25,MO,2475.0,4477.0,-1214.0,7155.0,6860.0,14244.0,5243.0,5070.0,4535.0,4183.0,3393.0
26,AMZN.O,33360.0,21315.0,11602.0,9907.0,2248.0,2467.0,618.0,-278.0,345.0,116.0,643.0
27,AMCR.K,815.0,932.0,638.3,432.6,604.1,566.9,273.6,707.9,706.7,632.673651,450.382733
28,AMD.O,3156.0,2485.0,328.0,352.0,-1156.0,-487.0,-660.0,-403.0,-83.0,-1183.0,3.0
29,AEE,995.0,877.0,834.0,821.0,683.0,659.0,585.0,593.0,518.0,522.0,437.0
