,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,17.39633739669,20.2859931594689,21.1138570907111,20.9754336214602,26.2728144405041,22.491709039886
1,AOS,29.735720966,28.252926049,19.824310997,17.485381075,30.103111015,25.920776036
2,ABT,34.685699358,58.247107328,46.956427722,54.793379039,47.052518757,57.765479073
3,ABBV.K,32.229654138,23.42803668,39.643237725,18.154678094,23.489378652,16.947959858
4,ABMD.O,110.435012545,71.164378299,35.625009136,70.750384182,92.201652063,116.988693585
5,ACN,43.121651844,32.016640171,28.097279006,20.790269075,27.130292392,17.337900327
6,ATVI.O,19.700101269,32.538873177,34.549524668,29.549117397,43.444551935,31.314497806
7,ADM,14.623254848,17.458613285,22.700891873,12.219163538,18.829719762,17.278642236
8,ADBE.O,46.791993227,62.965914656,58.429398769,43.501752645,55.131016388,52.441763918
9,ADP.O,39.003603301,30.659207767,31.416468126,26.841900551,29.557830593,30.797535718
10,AAP,24.279720846,22.913945051,22.753587568,34.044742913,20.906865983,27.666852617
11,AES,31.705853188,,25.53606488,37.4912494490394,,56.070256707
12,AFL,9.470041001,6.952391673,13.033184113,11.634677263,12.745826896,11.053163174
13,A,40.539751302,51.462125457,25.401825859,25.159719088,31.9702495751303,32.474891834
14,APD,33.371904906,31.949726132,29.809944006,20.883405228,31.784774767,28.340703256
15,AKAM.O,32.152609515,30.751521613,31.20078598,40.278812738,39.455485186,37.806240184
16,ALK,,,13.769765457,15.298323595,12.313872245,12.431192725
17,ALB,123.662313068,41.203826548,14.533212091,12.021956801,45.602361952,17.328147772
18,ARE,34.020113614,41.031331803,151.185964912,27.775903127,148.698503792,
19,ALGN.O,70.741571195,24.305411841,53.602163757,43.012408966,67.462980225,40.96076493
20,ALLE.K,26.008609313,35.861422932,27.297036647,20.972342083,22.610109186,27.404651083
21,LNT.O,24.260483473,19.235291702,24.538006556,19.811869303,22.97574928,24.855520851
22,ALL,5.801213398,8.260488295,15.752145696,8.042436188,14.549906136,20.073338641
23,GOOGL.O,28.2840590237302,34.5070367074352,28.7431382058689,25.655655999725,35.0927455892543,29.0024008549386
24,GOOG.O,28.2840590237302,34.5070367074352,28.7431382058689,25.655655999725,35.0927455892543,29.0024008549386
25,MO,31.735720935,87.618070693,53.933434191,12.552513934,8.930391469,25.412740946
26,AMZN.O,65.198194815962,95.3802406081975,82.9133462560126,92.448266098753,297.257383966245,171.79939516129
27,AMCR.K,19.758164021,25.092738669,33.282161498,,,
28,AMD.O,44.547635632,126.795614484,228.443337484,,,
29,AEE,23.303914356,22.815488578,23.662659215,19.012393177,23.400929849,19.564771477
30,AAL.O,,,8.061161392,11.303472359,12.359726722,5.014402041
31,AEP.O,19.051881419,21.550039725,22.066669313,19.066667007,19.214696879,69.709249541
32,AXP,17.104883465,29.853067896,16.196560069,13.257209616,19.077238708,13.11814476
33,AIG,8.923821078,,25.516747696,54.605664247,,122.77008102
34,AMT,53.22943433,53.015702058,63.833392125,59.632906477,54.204691382,53.124481599
35,AWK,45.188520785,42.052912083,34.224727052,28.225029074,31.016503261,27.693261536
36,AMP,16.273232351,13.928329274,11.760121202,7.762194387,15.782371463,15.093939159
37,ABC,17.990758904,,22.114881895,15.688755338,56.550900121,12.378240007
38,AME,36.788419054,31.988869757,27.267011127,22.11688299,30.39632241,21.209370527
39,AMGN.O,23.170616153,18.539184508,18.499532658,16.053986653,15.702768888,14.604540683
40,APH,37.071731639,34.447242535,27.804609867,20.628898791,28.037144426,26.895061234
41,ADI.O,47.691143073,45.016714051,32.594087865,20.719722482,40.584585789,26.3002546
42,ANSS.O,75.455655318,82.464225079,50.404157496,36.700027216,46.476695522,31.436622016
43,AON,76.219264789,27.262826187,33.252021877,31.88117813,46.493553357,21.356817599
44,APA.O,16.956420297,,,10.173945398,24.349872253,
45,AAPL.O,31.668551169,40.617854224,24.775154818,12.98656392,18.421556803,13.994818703
46,AMAT.O,24.536969179,22.005650582,21.519098905,8.119052992,15.727924142,20.780341424
47,APTV.K,56.993690786,19.580173665,24.284841216,15.371057375,22.965509773,32.911722004
48,ACGL.O,8.970012512,12.921414728,12.5419625,13.644208871,29.328961362,16.414600565
49,ANET.K,58.379427699,32.539945619,21.261027721,54.412387534,48.914487891,42.059283727
50,AJG,36.635501911,32.340116279,25.076099894,21.442557512,23.493334026,24.254985436
51,AIZ,16.1800841497255,19.90717196,33.246842843,14.212572024,24.102548168,9.898024552
52,T,43.4842802303263,14.2922227910741,13.8339202842504,10.7387900249128,14.1153900840829,13.6614579556523
53,ATO,20.5765842909357,19.522443753,25.81910928,16.938501111,23.796924049,22.271347004
54,ADSK.O,47.354806549,155.055529319,309.365620047,315.243767924,,
55,AZO,20.302208394,15.520980111,18.538552489,18.406482602,15.843578047,18.820265617
56,AVB,35.001295626,34.545352753,29.132323542,29.209097195,27.973859079,25.774920849
57,AVY,24.279501831,24.789835384,47.179405803,16.426748005,25.613865294,20.311352027
58,BKR.O,379.196217494,,127.189717632,,,
59,BALL.K,40.992646276,59.956374306,36.329827873,29.85326581,51.174235767,42.026356745
60,BAC,13.331535419,14.978700693,12.979642378,10.884065269,17.026479868,16.10141707
