,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,7.07882329626043,8.48675895667537,9.47957740954855,10.8264043379969,11.5419299234653,8.9488297823667
1,AOS,7.32292849772788,5.09484328098214,4.83703774060529,4.173793219,6.380034829,5.459305712
2,ABT,7.229931676,6.182879927,4.8278613,4.13729256,3.101151392,2.721958445
3,ABBV.K,17.665022355,12.387119817,-15.916772188,-47.472967812,23.083755601,15.729125566
4,ABMD.O,11.802279459,12.390432664,7.783809566,18.461723868,13.694593989,12.25484118
5,ACN,12.884543451,9.250582164,8.82408207,7.095911096,10.684839462,10.141004194
6,ATVI.O,3.056718691,4.989227931,3.730451221,3.333558457,4.803202416,3.04309355
7,ADM,1.719823843,1.450572405,1.367930377,1.208363617,1.275169038,1.504487399
8,ADBE.O,18.72627723,20.494971399,15.613531456,12.484075828,10.571193618,7.030654494
9,ADP.O,19.447317173,13.021856117,13.784524409,12.280239378,13.161420549,10.957299358
10,AAP,4.683706088,2.86519656,3.211366211,3.136335185,2.280217052,4.453158554
11,AES,4.652827705,7.799691629,4.20747259,2.89767672,2.244816872,2.657746156
12,AFL,1.153489647,0.963328175,1.321026462,1.496403042,1.573205965,1.246357762
13,A,8.946799035,7.440578699,5.551977675,4.697236698,4.463742496,3.479010134
14,APD,4.975160321,4.998956143,4.685838274,3.235866061,3.552004042,4.415418438
15,AKAM.O,4.14847455,4.161135009,3.987933405,3.172272442,3.373105998,3.654340935
16,ALK,1.848882925,1.861723903,1.964270556,1.980086448,2.598163888,3.81892216
17,ALB,4.802409983,3.807270232,2.01860684,2.319125495,3.624483606,2.934528257
18,ARE,2.321484445,2.219878424,2.323032228,1.774010906,2.277548609,2.183450336
19,ALGN.O,14.735133444,13.890137278,16.844150131,14.041138633,15.071859948,7.896262211
20,ALLE.K,13.745977024,13.024506112,16.911639312,12.69319053,20.588882167,40.480813703
21,LNT.O,2.488225992,2.178061738,2.544216943,2.089618274,2.26252577,2.123593711
22,ALL,1.267656852,1.225790265,1.398096787,1.206251851,1.704218093,1.302959778
23,GOOGL.O,7.87354933935205,5.57865015667296,4.74635756114461,4.28195493829738,4.65876378524142,4.07228640074474
24,GOOG.O,7.87354933935205,5.57865015667296,4.74635756114461,4.28195493829738,4.65876378524142,4.07228640074474
25,MO,-68.771242163,24.273713275,8.841929038,5.993064555,11.208779905,44.82128628
26,AMZN.O,13.9110598520863,19.7520852913344,16.1867487788738,18.7722256871063,22.8601078759849,20.0308317397928
27,AMCR.K,3.949094624,3.926514188,3.235492792,,,
28,AMD.O,24.440414798,28.50670287,23.477959558,16.39248,19.077307693,27.274909088
29,AEE,2.367472999,2.273110143,2.343438353,2.080612069,1.948396732,1.769330738
30,AAL.O,-1.563627183,-1.450919592,78.517825728,-26.036205249,6.325834417,5.520300333
31,AEP.O,2.00446396,2.022214826,2.359220646,1.934872956,2.001550912,1.787218895
32,AXP,5.210873659,4.450708766,4.438926819,3.793256291,4.102395542,3.232210116
33,AIG,0.732672917,0.508742173,0.680677637,0.59509028,0.739019647,0.768201525
34,AMT,24.616930163,26.7178196,19.420719735,13.031229045,9.395367953,6.705982961
35,AWK,4.993421541,4.272025517,3.58764928,2.797392612,2.957490851,2.49913426
36,AMP,5.941099877,3.799848487,3.53895974,2.597539121,3.98711518,2.587343137
37,ABC,171.228081371,-19.594375741,6.106042815,5.40891996,9.695592386,8.080077146
38,AME,5.186337177,4.877823918,4.685576829,3.482838676,4.447258333,3.334399847
39,AMGN.O,15.468912012,12.241839584,13.153283975,8.689534811,3.920560365,3.538725766
40,APH,8.813809852,7.757674299,7.712295863,6.089282846,6.584136507,5.590546874
