,Symbol,2021,2020,2019,2018,2017,2016
0,MMM,12.539,11.06,13.09,16.9,15.85,15.35
1,AOS,14.679,11.29,12.07,14.44,,
2,ABT,12.68,9.33,8.599,7.15,6.83,6.99
3,ABBV.K,15.279,14.839,17.949,18.88,13.17,13.27
4,ABMD.O,12.849,,,,,
5,ACN,15.22,14.16,14.67,19.31,18.72,18.04
6,ATVI.O,12.109,11.69,9.2,10.97,9.68,10.09
7,ADM,8.47,6.21,4.85,6.83,3.49,4.7
8,ADBE.O,23.3,21.77,19.57,16.51,15.86,12.43
9,ADP.O,5.28,5.86,6.32,6.04,5.19,4.12
10,AAP,6.45,5.09,5.75,6.02,4.74,6.45
11,AES,4.2,3.649,3.75,3.61,2.94,2.31
12,AFL,2.49,4.3,2.26,2.32,,2.15
13,A,13.099,10.72,10.99,10.69,9.47,8.51
14,APD,8.57,7.71,7.4,9.55,8.74,7.59
15,AKAM.O,11.849,11.62,11.86,12.17,10.09,11.12
16,ALK,-1.83,-9.29,6.68,5.12,7.95,11.04
17,ALB,4.389,4.33,7.37,7.83,6.48,4.54
18,ARE,2.12,3.7,2.14,2.74,1.29,-1.57
19,ALGN.O,16.589,11.35,19.45,20.9,20.04,
20,ALLE.K,15.339,15.71,15.95,15.3,15.87,14.29
21,LNT.O,3.629,3.52,3.47,3.42,3.22,3.27
22,ALL,14.31,15.12,2.99,2.54,2.23,1.72
23,GOOGL.O,22.399,13.52,13.5,14.29,12.35,15.26
24,GOOG.O,22.399,13.52,13.5,14.29,12.35,15.26
25,MO,19.6,16.789,15.05,15.25,14.63,15.09
26,AMZN.O,5.939,7.81,5.97,6.85,2.09,3.19
27,AMCR.K,7.07,6.89,6.12,,,
28,AMD.O,32.13,21.01,14.29,12.7,5.22,-3.64
29,AEE,2.919,2.86,2.95,3.12,2.73,2.7
30,AAL.O,-8.4,-15.59,3.609,3.77,4.67,6.37
31,AEP.O,2.819,2.81,2.899,2.91,2.82,3.1
32,AXP,4.169,1.56,3.52,3.4,3.06,3.38
33,AIG,0.75,0.4,0.8,0.21,0.45,0.84
34,AMT,4.379,3.76,4.98,3.71,3.99,2.94
