,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,47072.0,47344.0,44659.0,36500.0,37987.0,32906.0,32883.0,31209.0,33550.0,33876.0,31616.0
1,AOS,3474.4,3160.7,3058.0,3071.5,3197.4,2891.0,2629.2,2515.3,2391.5,2278.8,2349.0
2,ABT,75196.0,72548.0,67887.0,67173.0,76250.0,52666.0,41247.0,41207.0,42953.0,67235.0,60276.893
3,ABBV.K,146529.0,150565.0,89115.0,59352.0,70786.0,66099.0,53050.0,27513.0,29198.0,27008.0,19521.0
4,ABMD.O,1673.393,1494.359,1216.462,1054.346,786.375,550.414,423.931,338.367,205.407,169.999,153.911
5,ACN,47263.39,43175.843,37078.593,29789.88,24449.083,22689.89,20609.004,18202.647,17930.452,16867.049,16665.415
6,ATVI.O,25056.0,23109.0,19845.0,17890.0,18668.0,17452.0,15246.0,14642.0,14012.0,14200.0,13277.0
7,ADM,56136.0,49719.0,43997.0,40833.0,39963.0,39769.0,40157.0,43997.0,43752.0,45136.0,42352.0
8,ADBE.O,27241.0,24284.0,20762.4,18768.682,14535.556,12697.246,11726.472,10785.829,10380.298,10040.229,8991.183
9,ADP.O,63068.2,48772.5,39165.5,41887.7,38849.1,37180.0,43670.0,33110.5,32059.8,32268.1,30817.4
10,AAP,12194.209,11839.636,11248.525,9040.648,8482.301,8315.033,8127.701,7962.358,5564.774,4613.814,3655.754
11,AES,32963.0,34603.0,33648.0,32521.0,33112.0,36124.0,36470.0,38966.0,40411.0,41830.0,45346.0
12,AFL,157542.0,165086.0,152768.0,140406.0,137217.0,129819.0,118256.0,119767.0,121307.0,131094.0,116237.0
13,A,10705.0,9627.0,9452.0,8541.0,8426.0,7794.0,7479.0,10815.0,10686.0,10536.0,9057.0
14,APD,27192.6,26859.2,25168.5,18942.8,19178.3,18467.2,18028.6,17334.5,17779.1,17850.1,16941.8
15,AKAM.O,8138.673,7764.13,7006.886,5461.77,4648.916,4373.146,4181.684,4001.546,2957.685,2600.627,2345.501
16,ALK,13951.0,14046.0,12993.0,10912.0,10746.0,9962.0,6533.0,6064.0,5838.0,5505.0,5167.0
17,ALB,10974.118,10450.946,9860.863,7581.674,7750.772,8161.207,9597.954,5223.103,3584.797,3437.291,3203.824
18,ARE,30219.373,22827.878,18390.503,14464.956,12103.953,10354.888,8881.017,8136.036,7529.764,7150.116,6574.129
19,ALGN.O,5942.11,4829.683,2500.702,2052.458,1784.009,1396.151,1158.633,987.997,832.147,756.312,649.264
20,ALLE.K,3051.0,3069.4,2967.2,2810.2,2542.0,2247.4,2263.0,2015.9,2000.6,1983.8,2036.2
21,LNT.O,18553.0,17710.0,16700.7,15426.0,14187.8,13373.8,12495.2,12063.5,11112.4,10785.5,9687.9
22,ALL,99440.0,125987.0,119950.0,112249.0,112422.0,108610.0,104656.0,108479.0,123520.0,126947.0,125193.0
23,GOOGL.O,359268.0,319616.0,275909.0,232792.0,197295.0,167497.0,147461.0,129187.0,110920.0,93798.0,72574.0
24,GOOG.O,359268.0,319616.0,275909.0,232792.0,197295.0,167497.0,147461.0,129187.0,110920.0,93798.0,72574.0
25,MO,39523.0,47414.0,49271.0,55459.0,43202.0,45932.0,31459.0,34475.0,34859.0,35329.0,36751.0
26,AMZN.O,420549.0,321195.0,225248.0,162648.0,131310.0,83402.0,64747.0,54505.0,40159.0,32555.0,25278.0
27,AMCR.K,17426.0,17188.0,16442.1,17165.0,9057.5,9083.3,8682.1,8547.1,9133.9,11515.6,11593.079359
28,AMD.O,12419.0,8962.0,6028.0,4556.0,3552.0,3321.0,3084.0,3767.0,4337.0,4000.0,4954.0
29,AEE,35735.0,32030.0,28933.0,27215.0,25945.0,24699.0,23640.0,22289.0,21042.0,22230.0,23645.0
30,AAL.O,66467.0,62008.0,59995.0,60580.0,52785.0,51274.0,48415.0,43225.0,42278.0,23510.0,23848.0
31,AEP.O,87668.7,80757.2,75892.3,68802.8,64729.1,63467.7,61683.1,59544.6,56414.0,54367.0,52223.0
32,AXP,188548.0,191367.0,198321.0,188602.0,181196.0,158893.0,161184.0,159103.0,153375.0,153140.0,153337.0
33,AIG,596112.0,586481.0,525064.0,491984.0,498301.0,498264.0,496842.0,515581.0,541329.0,548633.0,553054.0
34,AMT,69887.9,47233.5,42801.6,33010.4,33214.3,30879.15,26904.272,21263.565,20283.665,14089.429,12242.395
35,AWK,26075.0,24766.0,22682.0,21223.0,19482.0,18482.0,17241.0,16130.956,15088.142,14718.976,14776.391
36,AMP,175979.0,165883.0,151828.0,137216.0,147480.0,139821.0,145319.0,148810.0,144576.0,134729.0,132307.0
37,ABC,56560.616,57337.805,44274.83,39171.98,37669.838,35316.47,33637.501,27962.982,21532.183,18918.638,15442.256
38,AME,11898.187,10357.483,9844.559,8662.288,7796.064,7100.674,6660.45,6420.963,5877.902,5190.056,4319.49
39,AMGN.O,61165.0,62948.0,59707.0,66416.0,79954.0,77626.0,71449.0,69009.0,66125.0,54298.0,48871.0
40,APH,14678.4,12327.3,10815.5,10044.9,10003.9,8498.7,7458.4,6985.9,6168.028,5215.463,4445.225
41,ADI.O,52322.071,21468.603,21392.641,20438.366,21141.294,7970.278,7058.777,6859.69,6381.75,5620.347,5277.635
42,ANSS.O,6324.314,5940.59,4838.887,3265.964,2941.623,2800.526,2729.904,2752.879,2722.382,2607.417,2448.47
43,AON,31917.0,32114.0,29405.0,26422.0,26088.0,26615.0,26883.0,29772.0,30251.0,30486.0,29552.0
44,APA.O,13303.0,12746.0,18107.0,21582.0,21922.0,22519.0,25500.0,55952.0,61637.0,60737.0,52051.0
45,AAPL.O,352755.0,351002.0,323888.0,338516.0,365725.0,375319.0,321686.0,290345.0,231839.0,207000.0,176064.0
46,AMAT.O,25825.0,22353.0,19024.0,17633.0,19419.0,14570.0,15308.0,13174.0,12043.0,12102.0,13861.0
47,APTV.K,18007.0,17522.0,13459.0,12480.0,12169.0,12292.0,11973.0,10746.0,11047.0,10176.0,9128.0
48,ACGL.O,45100.945,43282.297,37885.361,32218.329,32051.658,29372.109,23177.27,22006.081,19566.094,17816.762,17105.357
49,ANET.K,5734.429,4738.919,4185.29,3081.983,2460.86,1729.007,1159.89,811.023,364.52,219.127,127.642
50,AJG,33345.0,22331.4,19634.8,16334.0,14909.7,11489.6,10910.5,10010.0,6860.5,5352.3,4483.5
51,AIZ,33920.6,44649.9,44291.2,41089.3,31843.0,29709.128,30036.402,31562.466,29714.689,28946.607,27019.862
52,T,551622.0,525761.0,551669.0,531864.0,444097.0,403821.0,402672.0,296834.0,277787.0,272315.0,270442.0
53,ATO,19608.662,15359.032,13367.619,11874.437,10749.596,10010.889,9075.072,8594.704,7934.268,7495.675,7282.871
54,ADSK.O,8606.8,7279.8,6179.3,4729.2,4113.6,4798.1,5515.3,4909.7,4595.0,4308.4,3227.8
55,AZO,15275.043,14516.199,14423.872,9895.913,9346.98,9259.781,8599.787,8102.349,7517.858,6892.089,6265.639
56,AVB,19902.016,19199.144,19121.051,18380.2,18414.821,17867.271,16931.305,16140.578,15328.143,11160.078,8482.39
57,AVY,7971.6,6083.9,5488.8,5177.5,5136.9,4396.4,4133.7,4356.9,4610.6,5105.3,4972.7
58,BKR.O,35308.0,38007.0,53369.0,52439.0,57050.0,19034.0,24080.0,28827.0,27934.0,26689.0,24847.0
59,BALL.K,19714.0,18252.0,17360.0,16554.0,17169.0,16173.0,9697.0,7571.0,7820.4,7507.1,7284.6
60,BAC,3169495.0,2819627.0,2434079.0,2354507.0,2281234.0,2188067.0,2144287.0,2104534.0,2102273.0,2209974.0,2129046.0
61,BBWI.K,6026.0,11571.0,10125.0,8090.0,8149.0,8170.0,8493.0,7476.0,7198.0,6019.0,6108.0
62,BAX,33521.0,20019.0,18193.0,15720.0,17111.0,15546.0,20962.0,26138.0,25224.0,20390.0,19073.0
