,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,17463.0,18910.0,20445.0,14697.0,14009.0,11695.0,10843.0,6870.0,6067.0,6072.0,5166.0
1,AOS,196.7,113.2,284.0,221.4,410.4,323.6,249.0,223.8,191.9,243.7,461.6
2,ABT,18050.0,18747.0,17593.0,19566.0,27924.0,21552.0,8562.0,7385.0,6056.0,19861.0,15414.577
3,ABBV.K,76684.0,86056.0,66728.0,40310.0,37368.0,36842.0,31671.0,14977.0,14723.0,15672.0,48.0
4,ABMD.O,0.0,0.0,0.0,0.0,0.0,16.338,0.0,0.0,0.0,0.0,0.0
5,ACN,55.068,65.553,61.872,22.658,25.013,25.07,27.23,27.435,26.733,25.6,0.033
6,ATVI.O,3608.0,3605.0,2675.0,2671.0,4390.0,4887.0,4074.0,4324.0,4693.0,0.0,0.0
7,ADM,9539.0,9929.0,8881.0,8388.0,7493.0,6931.0,5877.0,5660.0,6870.0,9540.0,10319.0
8,ADBE.O,4123.0,4117.0,4138.059,4115.056,1881.421,1892.2,1907.231,1514.315,1513.973,1508.155,1514.308
9,ADP.O,2988.3,2986.2,2004.6,2002.2,2002.4,2002.4,2007.7,9.2,2184.5,14.7,16.8
10,AAP,1034.32,1032.984,747.32,1045.72,1044.327,1043.255,1206.895,1636.893,1053.584,613.81,432.165
11,AES,18699.0,19881.0,20173.0,19295.0,19965.0,19454.0,20081.0,20858.0,21049.0,20721.0,22020.0
12,AFL,7851.0,7756.0,6420.0,5778.0,5289.0,5360.0,4971.0,5282.0,4897.0,4352.0,3285.0
13,A,2729.0,2359.0,2407.0,1799.0,2011.0,1904.0,1655.0,1663.0,2699.0,2362.0,2185.0
14,APD,7644.8,7637.2,7907.8,3326.0,3812.6,3962.8,5210.9,5879.0,6118.5,6273.6,5291.9
15,AKAM.O,1976.167,1906.707,1839.791,1560.632,662.913,640.087,618.047,604.851,0.0,0.0,0.0
16,ALK,2539.0,3495.0,1499.0,2103.0,2569.0,2964.0,686.0,803.0,871.0,1032.0,1307.0
17,ALB,2394.239,3572.058,3050.257,1705.21,1837.372,2369.262,3817.157,2934.131,1078.864,699.288,763.673
18,ARE,8791.866,7563.286,6777.479,5478.255,4764.807,4164.025,3935.692,3678.579,3061.061,3181.949,2779.264
19,ALGN.O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ALLE.K,1442.1,1429.6,1427.7,1444.8,1477.3,1463.8,1523.1,1264.6,1343.9,5.0,4.9
21,LNT.O,7895.0,7166.0,6527.6,5944.0,5281.5,4564.3,3995.4,3908.6,3615.7,3355.6,2807.3
22,ALL,7976.0,7825.0,6631.0,6451.0,6350.0,6347.0,5124.0,5140.0,6201.0,6057.0,5908.0
23,GOOGL.O,14930.0,15032.0,4554.0,4012.0,3969.0,3935.0,5220.0,5237.0,5245.0,5537.0,4204.0
24,GOOG.O,14930.0,15032.0,4554.0,4012.0,3969.0,3935.0,5220.0,5237.0,5245.0,5537.0,4204.0
25,MO,28044.0,29471.0,28042.0,25746.0,13894.0,13881.0,12847.0,14693.0,14517.0,13878.0,13689.0
26,AMZN.O,72301.0,51031.0,41816.0,49289.0,44147.0,20410.0,17274.0,16089.0,6917.0,3830.0,1415.0
27,AMCR.K,6490.0,6289.0,6234.7,6103.2,4848.3,4611.0,4345.1,3585.3,3523.1,4044.0,4146.006332
28,AMD.O,313.0,330.0,486.0,1250.0,1395.0,1435.0,2237.0,2212.0,2058.0,2042.0,2016.0
29,AEE,13612.0,11576.0,9797.0,9036.0,8419.0,7834.0,7576.0,6919.0,6406.0,6157.0,7004.0
30,AAL.O,38060.0,32593.0,24315.0,24473.0,25065.0,24344.0,20754.0,18045.0,22727.0,13449.0,12570.0
31,AEP.O,36569.2,33840.9,29870.6,25256.7,22811.9,21969.4,20372.7,19858.4,19134.0,18738.0,18166.0
32,AXP,125300.0,131705.0,137564.0,132511.0,126371.0,107868.0,108279.0,106253.0,102556.0,102622.0,103983.0
33,AIG,30163.0,37534.0,35350.0,34540.0,31640.0,30912.0,29249.0,31217.0,41693.0,48500.0,75253.0
34,AMT,43254.2,29287.5,24055.4,21159.9,20205.1,18533.465,17119.009,14540.341,14478.278,8753.376,7236.308
35,AWK,10985.0,10944.0,9458.0,8611.0,7725.0,7182.0,6556.0,5959.336,5874.539,5595.274,5904.992
36,AMP,25423.0,22585.0,19356.0,16356.0,15600.0,15472.0,19057.0,17787.0,16018.0,14411.0,17925.0
37,ABC,5702.833,6683.924,4119.52,4493.41,4662.485,3793.69,4462.694,3739.225,1995.632,1396.606,1395.931
38,AME,2544.241,2413.725,2768.741,2632.713,2174.289,2341.565,1938.04,1714.026,1415.065,1453.775,1263.924
39,AMGN.O,33309.0,32986.0,29903.0,33929.0,35342.0,34596.0,31429.0,30715.0,32128.0,26529.0,21428.0
40,APH,4799.9,3866.5,3606.7,3570.7,3542.6,3010.7,2813.5,2656.2,2132.874,1706.497,1377.129
41,ADI.O,6769.875,5145.102,5491.919,6332.674,7851.084,1732.177,869.935,872.789,872.241,821.598,886.376
42,ANSS.O,753.576,798.118,498.531,0.0,0.0,0.0,0.0,0.0,0.0,53.149,127.572
43,AON,9457.0,7824.0,7439.0,6413.0,6119.0,6341.0,5866.0,5766.0,4593.0,4165.0,4492.0
44,APA.O,7510.0,8772.0,8566.0,8244.0,8484.0,8544.0,8717.0,11245.0,9725.0,12345.0,7216.0
45,AAPL.O,121010.0,125567.0,113097.0,108047.0,114483.0,115680.0,87032.0,64328.0,35295.0,16960.0,0.0
46,AMAT.O,5452.0,5448.0,5313.0,5309.0,5304.0,3325.0,4542.0,1947.0,1946.0,1946.0,1947.0
47,APTV.K,4067.0,4101.0,4364.0,4344.0,4149.0,3963.0,4008.0,2451.0,2412.0,2464.0,2103.0
48,ACGL.O,2724.394,3016.8,2355.913,2189.21,2549.016,2488.908,1321.74,891.141,900.0,400.0,710.486
49,ANET.K,0.0,0.0,0.0,35.431,37.673,39.593,42.546,43.634,142.763,122.926,96.633
50,AJG,6283.6,4544.6,4606.7,3610.4,3133.0,2848.2,2453.7,2392.9,1455.5,854.0,685.0
51,AIZ,2202.5,2175.2,2006.9,2006.0,1068.2,1067.02,1164.656,1171.079,1638.118,972.399,972.278
52,T,176876.0,157245.0,163147.0,176505.0,164346.0,123513.0,126151.0,81834.0,74788.0,69844.0,64753.0
53,ATO,7330.657,4531.944,3994.367,3644.445,3514.79,3268.59,2895.442,2652.681,2823.655,2527.365,2414.947
54,ADSK.O,2627.6,1637.2,2084.8,2087.7,1586.0,1490.7,1487.7,743.1,746.4,745.6,0.0
55,AZO,6432.397,5545.874,5736.724,5262.59,5058.22,5129.372,4968.953,4665.404,4380.305,4187.0,3798.025
56,AVB,8123.667,7584.503,7316.497,7040.263,7329.47,7030.88,6456.948,6489.707,6134.351,3851.033,3599.196
57,AVY,3104.7,2116.8,1939.5,1966.2,1581.7,1292.5,1058.9,1144.4,1027.5,1222.4,1181.3
58,BKR.O,6727.0,7633.0,6622.0,7227.0,8349.0,3018.0,4041.0,4133.0,4381.0,4916.0,4069.0
59,BALL.K,7737.0,7800.0,7817.0,6729.0,6971.0,7532.0,5051.0,3168.9,3605.1,3305.1,3144.1
60,BAC,495909.0,450612.0,427557.0,436569.0,431787.0,411058.0,439153.0,475588.0,493779.0,599575.0,622827.0
61,BBWI.K,4854.0,6399.0,5569.0,5838.0,5794.0,5736.0,5721.0,4722.0,4976.0,4477.0,3538.0
62,BAX,17660.0,6192.0,5350.0,3485.0,3512.0,2782.0,6507.0,9029.0,9166.0,5930.0,5195.0
63,BDX,17610.0,17931.0,19390.0,21495.0,18870.0,11551.0,12822.0,3971.0,3970.0,4166.254,2719.597
64,WRB,3267.068,2725.334,2626.279,2789.519,2497.27,2488.225,2184.941,2455.587,2032.242,2114.741,1743.5
65,BRKb,114262.0,116895.0,103368.0,97490.0,102587.0,101644.0,84289.0,79890.0,72224.0,62736.0,60384.0
66,BBY,1229.0,1377.0,1271.0,1388.0,1355.0,1365.0,1734.0,1613.0,1657.0,2296.0,2208.0
67,BIO,11.003,14.056,439.751,439.43,435.001,434.52,434.181,435.975,437.401,734.164,732.512
68,TECH.O,255.91,341.327,356.743,505.16,339.0,343.771,95.259,77.024,12.946,0.0,0.0
69,BIIB.O,7273.1,7426.2,5954.8,5936.5,5938.2,6517.4,6526.3,583.4,595.927,1140.775,1064.1
70,BLK,7446.0,7264.0,4955.0,4979.0,5014.0,4915.0,4930.0,4922.0,2369.0,8189.0,6364.0
71,BK,38246.0,37639.0,43460.0,48572.0,49245.0,35206.0,37072.0,32519.0,30271.0,27675.0,28384.0
72,BA,58102.0,63583.0,27302.0,13847.0,11117.0,9952.0,9964.0,9070.0,9635.0,10409.0,12371.0
73,BKNG.O,10926.0,12014.0,8628.0,8674.0,9523.661,7166.794,6158.443,3861.349,1902.511,1456.995,575.0
74,BWA,4327.0,3787.0,1960.0,2113.3,2188.3,2219.5,2550.3,1340.0,1222.6,1067.2,1329.1
75,BXP,13141.03,13284.25,12035.848,11007.757,10271.611,9796.133,9188.543,10086.984,11521.508,8912.369,8704.138
76,BSX,9065.0,9143.0,10008.0,7056.0,5616.0,5484.0,5677.0,4244.0,4240.0,4256.0,4261.0
77,BMY,44553.0,50676.0,46733.0,7349.0,7962.0,6708.0,6689.0,7832.0,8340.0,7394.0,5491.0
