,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,MMM,15046.0,12867.0,10063.0,9796.0,11563.0,10298.0,11429.0,13109.0,17502.0,17575.0,15420.0
1,AOS,1832.2,1848.3,1666.8,1717.0,1644.9,1515.3,1442.3,1381.3,1328.7,1194.1,1085.8
2,ABT,35802.0,32784.0,31088.0,30524.0,30897.0,20538.0,21211.0,21526.0,25171.0,26721.0,24439.833
3,ABBV.K,15408.0,13076.0,-8172.0,-8446.0,5097.0,4636.0,3945.0,1742.0,4492.0,3363.0,11932.0
4,ABMD.O,1503.326,1329.675,1065.466,936.89,689.524,452.071,368.775,291.56,168.353,137.08,126.297
5,ACN,22106.097,19529.454,17000.536,14409.008,10364.753,8949.477,7555.262,6133.725,5732.035,4960.186,4145.833
6,ATVI.O,17599.0,15037.0,12805.0,11392.0,9462.0,9119.0,8068.0,7233.0,6622.0,11317.0,10492.0
7,ADM,22477.0,20000.0,19208.0,18981.0,18313.0,17173.0,17899.0,19575.0,20156.0,18920.0,18808.0
8,ADBE.O,14797.0,13264.0,10530.155,9362.114,8459.869,7424.835,7001.58,6775.905,6724.634,6665.182,5783.113
9,ADP.O,3225.3,5670.1,5752.2,5399.9,4735.9,3977.0,4481.6,4808.5,6670.2,6189.9,6114.0
10,AAP,3128.291,3559.512,3549.081,3550.813,3415.196,2916.192,2460.648,2002.912,1516.205,1210.694,847.914
11,AES,2798.0,2634.0,2996.0,3208.0,2465.0,2794.0,3149.0,4272.0,4330.0,4569.0,5946.0
12,AFL,33253.0,33559.0,28959.0,23462.0,24598.0,20482.0,17708.0,18347.0,14620.0,15978.0,12946.0
13,A,5389.0,4873.0,4748.0,4567.0,4831.0,4243.0,4167.0,5301.0,5286.0,5182.0,4308.0
14,APD,13144.0,13539.7,12079.8,11053.6,10857.5,10086.2,7079.6,7249.0,7365.8,7042.1,6477.2
15,AKAM.O,4530.014,4251.296,3657.958,3191.86,3362.469,3224.37,3120.878,2945.335,2629.431,2345.754,2156.25
16,ALK,3801.0,2988.0,4331.0,3751.0,3460.0,2931.0,2411.0,2127.0,2029.0,1421.0,1174.0
17,ALB,5625.266,4268.227,3932.25,3585.321,3674.549,3795.062,3254.392,1359.465,1627.361,1833.598,1591.277
18,ARE,16189.542,11725.712,8865.826,7341.965,5949.666,4895.796,3975.087,3828.439,3916.789,3441.851,3374.301
19,ALGN.O,3622.714,3233.865,1346.169,1252.891,1154.288,995.389,847.926,752.771,633.97,581.317,490.781
20,ALLE.K,759.1,829.4,757.4,651.0,401.6,113.3,25.6,-4.8,-66.1,1343.2,1413.8
21,LNT.O,5990.0,5888.0,5405.1,4785.7,4382.2,4062.0,3924.1,3638.7,3481.4,3340.0,3218.1
22,ALL,25179.0,30217.0,25998.0,21312.0,22551.0,20573.0,20025.0,22304.0,21480.0,20580.0,18298.0
23,GOOGL.O,251635.001,222544.001,201442.0,177628.0,152501.999,139036.0,120331.0,103860.0,87309.0,71715.0,58145.0
24,GOOG.O,251635.001,222544.001,201442.0,177628.0,152501.999,139036.0,120331.0,103860.0,87309.0,71715.0,58145.0
25,MO,-1606.0,2839.0,6222.0,14787.0,15377.0,12770.0,2880.0,3014.0,4119.0,3168.0,3680.0
26,AMZN.O,138245.0,93404.0,62060.0,43549.0,27709.0,19285.0,13384.0,10741.0,9746.0,8192.0,7757.0
27,AMCR.K,4082.0,4764.0,4625.9,5609.0,626.6,800.1,783.9,1466.2,2028.1,3344.6,3367.785921
28,AMD.O,7497.0,5837.0,2827.0,1266.0,596.0,416.0,-412.0,187.0,544.0,538.0,1590.0
29,AEE,9700.0,8938.0,8059.0,7631.0,7184.0,7103.0,6946.0,6713.0,6544.0,6616.0,7919.0
30,AAL.O,-7340.0,-6867.0,-118.0,-169.0,-780.0,3785.0,5635.0,2021.0,-2731.0,-7987.0,-7111.0
31,AEP.O,22476.5,20596.1,19675.1,19067.8,18298.9,17397.0,17891.7,16820.2,16085.0,15237.0,14664.0
32,AXP,22177.0,22984.0,23071.0,22290.0,18261.0,20501.0,20673.0,20673.0,19496.0,18886.0,18794.0
33,AIG,65956.0,66362.0,65675.0,56361.0,65171.0,76300.0,89658.0,106898.0,100470.0,98002.0,101538.0
34,AMT,5081.2,4093.5,5055.4,5336.1,6241.5,6763.895,6651.679,3953.56,3534.165,3573.101,3287.22
35,AWK,7298.0,6454.0,6121.0,5864.0,5385.0,5218.0,5049.0,4915.591,4727.804,4444.988,4240.384
36,AMP,5685.0,5867.0,5729.0,5588.0,5995.0,6292.0,7217.0,8124.0,8192.0,9092.0,8988.0
37,ABC,71.273,223.354,-1018.924,2878.917,2932.824,2064.461,2129.404,616.386,1956.899,2319.745,2454.842
38,AME,6871.884,5949.346,5115.492,4241.922,4027.633,3256.513,3254.626,3239.561,3136.121,2535.151,2052.805
39,AMGN.O,6700.0,9409.0,9673.0,12500.0,25241.0,29875.0,28083.0,25778.0,22096.0,19060.0,19029.0
40,APH,6302.0,5384.9,4530.3,4017.0,3989.8,3674.9,3238.5,2907.4,2859.509,2429.959,2171.769
41,ADI.O,37992.542,11997.945,11709.188,11268.173,10161.54,5165.618,5072.959,4757.897,4739.576,4165.359,3795.413
42,ANSS.O,4484.048,4097.872,3453.379,2649.547,2245.831,2208.405,2194.427,2217.501,2136.246,1940.291,1754.473
43,AON,1061.0,3495.0,3375.0,4151.0,4583.0,5475.0,6002.0,6571.0,8145.0,7762.0,8078.0
44,APA.O,-1595.0,-1639.0,3255.0,7130.0,7416.0,6238.0,7888.0,25937.0,33396.0,31331.0,28993.0
45,AAPL.O,50672.0,63090.0,65339.0,90488.0,107147.0,134047.0,128249.0,119355.0,111547.0,123549.0,118210.0
46,AMAT.O,12247.0,10578.0,8214.0,6845.0,9349.0,7217.0,7613.0,7868.0,7088.0,7235.0,8800.0
47,APTV.K,8347.0,7905.0,3819.0,3459.0,3299.0,2401.0,2250.0,2510.0,2911.0,2345.0,1688.0
48,ACGL.O,13545.896,13105.886,11497.371,9439.827,9196.602,8253.718,6204.881,6130.053,5647.496,5168.878,4592.074
49,ANET.K,3978.6,3320.291,2894.686,2143.389,1661.914,1107.82,788.152,555.658,77.732,17.869,-8.194
50,AJG,8508.4,6186.2,5155.5,4498.9,4235.6,3596.6,3638.3,3229.4,2085.5,1658.6,1243.6
51,AIZ,5464.1,5951.4,5652.8,5112.0,4270.6,4098.1,4523.967,5181.307,4833.479,5185.366,4873.95
52,T,166332.0,161673.0,184221.0,184089.0,140861.0,123135.0,122671.0,89716.0,90988.0,92362.0,105534.0
